A18 (smoothed)
       40.       40.

  0.000000  0.000000
  0.000980  0.003760
  0.005480  0.009320
  0.013380  0.015130
  0.024330  0.021030
  0.038110  0.026940
  0.054680  0.032770
  0.073950  0.038390
  0.095760  0.043680
  0.119990  0.048600
  0.146480  0.053150
  0.175040  0.057340
  0.205490  0.061140
  0.237600  0.064510
  0.271200  0.067330
  0.306090  0.069510
  0.342040  0.070940
  0.378870  0.071570
  0.416380  0.071430
  0.454350  0.070580
  0.492650  0.069110
  0.530990  0.067100
  0.569370  0.064580
  0.607780  0.061600
  0.645940  0.058190
  0.683590  0.054400
  0.720430  0.050290
  0.756160  0.045910
  0.790480  0.041320
  0.823090  0.036610
  0.853700  0.031850
  0.882020  0.027120
  0.907750  0.022530
  0.930640  0.018190
  0.950440  0.014210
  0.966980  0.010700
  0.980370  0.007710
  0.990700  0.005300
  0.997540  0.003650
  1.000000  0.003070

  0.000000  0.000000
  0.000980 -0.003480
  0.005480 -0.007700
  0.013380 -0.011180
  0.024330 -0.013880
  0.038110 -0.015810
  0.054680 -0.016990
  0.073950 -0.017400
  0.095760 -0.017080
  0.119990 -0.016110
  0.146480 -0.014610
  0.175040 -0.012690
  0.205490 -0.010470
  0.237600 -0.008050
  0.271200 -0.005500
  0.306090 -0.002900
  0.342040 -0.000330
  0.378870  0.002090
  0.416380  0.004290
  0.454350  0.006170
  0.492650  0.007730
  0.530990  0.008950
  0.569370  0.009840
  0.607780  0.010420
  0.645940  0.010670
  0.683590  0.010600
  0.720430  0.010220
  0.756160  0.009540
  0.790480  0.008580
  0.823090  0.007380
  0.853700  0.006000
  0.882020  0.004500
  0.907750  0.002970
  0.930640  0.001490
  0.950440  0.000150
  0.966980 -0.000980
  0.980370 -0.001870
  0.990700 -0.002520
  0.997540 -0.002920
  1.000000 -0.003060
