AH-7-47-6 AIRFOIL
       16.       16.

  0.000000  0.000000
  0.012420  0.018060
  0.024880  0.027110
  0.049820  0.039220
  0.074780  0.048840
  0.099750  0.056450
  0.149700  0.067670
  0.199660  0.075900
  0.299610  0.085850
  0.399600  0.087800
  0.499610  0.086250
  0.599640  0.080700
  0.699680  0.070650
  0.799750  0.054600
  0.899850  0.034050
  1.000000  0.003500

  0.000000  0.000000
  0.012540 -0.007940
  0.025030 -0.005890
  0.050010 -0.003270
  0.075000  0.000340
  0.099980  0.003450
  0.149950  0.010670
  0.199920  0.016900
  0.299880  0.027350
  0.399850  0.034300
  0.499830  0.037750
  0.599830  0.038700
  0.699840  0.036150
  0.799870  0.029100
  0.899930  0.016050
  1.000000 -0.003500
