AH 85-L-120/17
       49.       49.

  0.000000  0.000000
  0.001070  0.003540
  0.004280  0.007060
  0.009610  0.010600
  0.017040  0.014270
  0.026530  0.018070
  0.038060  0.021960
  0.051560  0.025850
  0.066990  0.029660
  0.084270  0.033350
  0.103320  0.036900
  0.124080  0.040270
  0.146450  0.043440
  0.170330  0.046400
  0.195620  0.049130
  0.222210  0.051600
  0.250000  0.053800
  0.278860  0.055730
  0.308660  0.057380
  0.339280  0.058710
  0.370590  0.059710
  0.402450  0.060320
  0.434740  0.060550
  0.467300  0.060360
  0.500000  0.059750
  0.532700  0.058700
  0.565260  0.057250
  0.597550  0.055380
  0.629410  0.053080
  0.660720  0.050320
  0.691340  0.047070
  0.721140  0.043300
  0.750000  0.039030
  0.777790  0.034340
  0.804380  0.029410
  0.829670  0.024550
  0.853550  0.020030
  0.875920  0.016020
  0.896680  0.012600
  0.915730  0.009760
  0.933010  0.007460
  0.948440  0.005640
  0.961940  0.004220
  0.973470  0.003140
  0.982960  0.002290
  0.990390  0.001670
  0.995720  0.001120
  0.998930  0.000800
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.003540
  0.004280 -0.007060
  0.009610 -0.010600
  0.017040 -0.014270
  0.026530 -0.018070
  0.038060 -0.021960
  0.051560 -0.025850
  0.066990 -0.029660
  0.084270 -0.033350
  0.103320 -0.036900
  0.124080 -0.040270
  0.146450 -0.043440
  0.170330 -0.046400
  0.195620 -0.049130
  0.222210 -0.051600
  0.250000 -0.053800
  0.278860 -0.055730
  0.308660 -0.057380
  0.339280 -0.058710
  0.370590 -0.059710
  0.402450 -0.060320
  0.434740 -0.060550
  0.467300 -0.060360
  0.500000 -0.059750
  0.532700 -0.058700
  0.565260 -0.057250
  0.597550 -0.055380
  0.629410 -0.053080
  0.660720 -0.050320
  0.691340 -0.047070
  0.721140 -0.043300
  0.750000 -0.039030
  0.777790 -0.034340
  0.804380 -0.029410
  0.829670 -0.024550
  0.853550 -0.020030
  0.875920 -0.016020
  0.896680 -0.012600
  0.915730 -0.009760
  0.933010 -0.007460
  0.948440 -0.005640
  0.961940 -0.004220
  0.973470 -0.003140
  0.982960 -0.002290
  0.990390 -0.001670
  0.995720 -0.001120
  0.998930 -0.000800
  1.000000  0.000000
