AH 93-156
       61.       60.

  0.000190  0.001960
  0.001290  0.005260
  0.003260  0.008980
  0.006280  0.013270
  0.010730  0.018370
  0.017160  0.024500
  0.026090  0.031660
  0.037530  0.039490
  0.050970  0.047420
  0.065780  0.055060
  0.081530  0.062210
  0.097970  0.068830
  0.114930  0.074920
  0.132310  0.080500
  0.150050  0.085590
  0.168090  0.090220
  0.186360  0.094410
  0.204830  0.098180
  0.223460  0.101550
  0.242220  0.104520
  0.261080  0.107120
  0.280040  0.109350
  0.299090  0.111220
  0.318220  0.112740
  0.337430  0.113940
  0.356700  0.114820
  0.376030  0.115400
  0.395400  0.115680
  0.414770  0.115680
  0.434130  0.115400
  0.453470  0.114820
  0.472770  0.113940
  0.492020  0.112760
  0.511200  0.111260
  0.530320  0.109430
  0.549360  0.107260
  0.568320  0.104740
  0.587200  0.101860
  0.606010  0.098620
  0.624770  0.095010
  0.643520  0.091030
  0.662280  0.086690
  0.681120  0.082020
  0.700050  0.077070
  0.719070  0.071880
  0.738200  0.066490
  0.757420  0.060970
  0.776750  0.055340
  0.796120  0.049680
  0.815410  0.044070
  0.834610  0.038580
  0.853720  0.033250
  0.872750  0.028100
  0.891760  0.023170
  0.910660  0.018490
  0.929610  0.014060
  0.947560  0.010050
  0.963830  0.006510
  0.979150  0.003180
  0.991570  0.000250
  1.000000 -0.001970

  0.000190  0.001960
  0.000060 -0.001130
  0.000860 -0.004220
  0.002680 -0.007350
  0.005610 -0.010380
  0.009790 -0.013330
  0.015560 -0.016270
  0.023540 -0.019270
  0.034430 -0.022330
  0.048460 -0.025290
  0.064930 -0.027950
  0.082860 -0.030220
  0.101590 -0.032110
  0.120770 -0.033690
  0.140220 -0.035020
  0.159850 -0.036150
  0.179610 -0.037110
  0.199460 -0.037920
  0.219360 -0.038610
  0.239320 -0.039190
  0.259310 -0.039670
  0.279330 -0.040060
  0.299380 -0.040370
  0.319450 -0.040610
  0.339550 -0.040780
  0.359670 -0.040890
  0.379800 -0.040950
  0.399940 -0.040950
  0.420090 -0.040920
  0.440240 -0.040830
  0.460390 -0.040700
  0.480540 -0.040530
  0.500660 -0.040300
  0.520770 -0.040020
  0.540850 -0.039680
  0.560910 -0.039270
  0.580940 -0.038780
  0.600940 -0.038200
  0.620900 -0.037530
  0.640810 -0.036750
  0.660670 -0.035850
  0.680480 -0.034810
  0.700210 -0.033620
  0.719870 -0.032260
  0.739410 -0.030710
  0.758820 -0.028930
  0.778050 -0.026900
  0.797100 -0.024560
  0.816030 -0.021870
  0.834960 -0.018800
  0.854090 -0.015380
  0.873300 -0.011800
  0.892120 -0.008470
  0.910390 -0.005700
  0.928250 -0.003600
  0.945740 -0.002260
  0.962690 -0.001720
  0.978540 -0.001830
  0.991270 -0.002010
  1.000000 -0.001970
