AH 93-K-132/15
       61.       60.

  0.000000  0.000030
  0.000490  0.003000
  0.001990  0.006390
  0.004550  0.010140
  0.008410  0.014440
  0.014040  0.019510
  0.022120  0.025480
  0.033070  0.032200
  0.046560  0.039190
  0.061780  0.045970
  0.078090  0.052310
  0.095070  0.058180
  0.112490  0.063560
  0.130240  0.068480
  0.148250  0.072970
  0.166470  0.077060
  0.184850  0.080780
  0.203370  0.084140
  0.222000  0.087150
  0.240730  0.089850
  0.259550  0.092230
  0.278450  0.094320
  0.297400  0.096130
  0.316400  0.097670
  0.335430  0.098940
  0.354480  0.099940
  0.373550  0.100670
  0.392640  0.101140
  0.411750  0.101350
  0.430870  0.101310
  0.449980  0.101020
  0.469110  0.100480
  0.488230  0.099690
  0.507340  0.098660
  0.526410  0.097380
  0.545430  0.095860
  0.564400  0.094060
  0.583310  0.091980
  0.602140  0.089620
  0.620890  0.086960
  0.639520  0.083980
  0.658000  0.080650
  0.676280  0.076960
  0.694340  0.072850
  0.712160  0.068270
  0.729830  0.063160
  0.747500  0.057490
  0.765350  0.051310
  0.783510  0.044770
  0.801830  0.038180
  0.820000  0.031690
  0.837320  0.025710
  0.853880  0.020830
  0.870680  0.017110
  0.888590  0.014060
  0.907450  0.011140
  0.926460  0.008320
  0.945210  0.005730
  0.963130  0.003520
  0.978970  0.001920
  1.000000  0.000710

  0.000000  0.000030
  0.000680 -0.002880
  0.002910 -0.005420
  0.006450 -0.007630
  0.011350 -0.009740
  0.018200 -0.011940
  0.027920 -0.014320
  0.041340 -0.016800
  0.057810 -0.019180
  0.075810 -0.021250
  0.094540 -0.023000
  0.113560 -0.024440
  0.132670 -0.025650
  0.151850 -0.026640
  0.171170 -0.027450
  0.190620 -0.028120
  0.210110 -0.028690
  0.229640 -0.029150
  0.249250 -0.029550
  0.268860 -0.029890
  0.288450 -0.030160
  0.308100 -0.030380
  0.327790 -0.030570
  0.347460 -0.030730
  0.367080 -0.030860
  0.386710 -0.030910
  0.406390 -0.030930
  0.426110 -0.030930
  0.445810 -0.030940
  0.465520 -0.030960
  0.485200 -0.030980
  0.504830 -0.030950
  0.524490 -0.030870
  0.556440 -0.030700
  0.576390 -0.030500
  0.596320 -0.030250
  0.616240 -0.029930
  0.636160 -0.029540
  0.656060 -0.029090
  0.675950 -0.028560
  0.695820 -0.027960
  0.715660 -0.027260
  0.735460 -0.026460
  0.755210 -0.025550
  0.774900 -0.024520
  0.794520 -0.023370
  0.813990 -0.022130
  0.833310 -0.020780
  0.852410 -0.019330
  0.870060 -0.017880
  0.885770 -0.016460
  0.900230 -0.015020
  0.913990 -0.013480
  0.927530 -0.011770
  0.941710 -0.009640
  0.956440 -0.006920
  0.969410 -0.003980
  0.980740 -0.001870
  0.991470 -0.000510
  1.000000 -0.000140
