AH 93-W-215
       49.       49.

  0.000000  0.000000
  0.001070  0.007850
  0.004280  0.016180
  0.009610  0.025200
  0.017040  0.034710
  0.026530  0.044470
  0.038060  0.054290
  0.051560  0.064090
  0.066990  0.073700
  0.084270  0.082990
  0.103320  0.091820
  0.124080  0.100110
  0.146450  0.107740
  0.170330  0.114630
  0.195620  0.120690
  0.222210  0.125840
  0.250000  0.130010
  0.278860  0.133150
  0.308660  0.135200
  0.339280  0.136130
  0.370590  0.135890
  0.402450  0.134440
  0.434740  0.131740
  0.467300  0.127780
  0.500000  0.122610
  0.532700  0.116400
  0.565260  0.109350
  0.597550  0.101780
  0.629410  0.093960
  0.660720  0.086130
  0.691340  0.078460
  0.721140  0.071080
  0.750000  0.064040
  0.777790  0.057380
  0.804380  0.051120
  0.829670  0.045240
  0.853550  0.039700
  0.875920  0.034530
  0.896680  0.029740
  0.915730  0.025290
  0.933010  0.021160
  0.948440  0.017320
  0.961940  0.013760
  0.973470  0.010420
  0.982960  0.007130
  0.990390  0.003940
  0.995720  0.001400
  0.998930 -0.000310
  1.000000 -0.000870

  0.000000  0.000000
  0.001070 -0.007810
  0.004280 -0.015560
  0.009610 -0.023120
  0.017040 -0.030320
  0.026530 -0.037060
  0.038060 -0.043260
  0.051560 -0.048910
  0.066990 -0.053990
  0.084270 -0.058510
  0.103320 -0.062480
  0.124080 -0.065910
  0.146450 -0.068820
  0.170330 -0.071250
  0.195620 -0.073210
  0.222210 -0.074730
  0.250000 -0.075810
  0.278860 -0.076410
  0.308660 -0.076510
  0.339280 -0.076070
  0.370590 -0.075040
  0.402450 -0.073410
  0.434740 -0.071180
  0.467300 -0.068390
  0.500000 -0.065080
  0.532700 -0.061370
  0.565260 -0.057340
  0.597550 -0.053080
  0.629410 -0.048680
  0.660720 -0.044200
  0.691340 -0.039670
  0.721140 -0.035160
  0.750000 -0.030690
  0.777790 -0.026330
  0.804380 -0.022150
  0.829670 -0.018230
  0.853550 -0.014650
  0.875920 -0.011460
  0.896680 -0.008710
  0.915730 -0.006460
  0.933010 -0.004720
  0.948440 -0.003450
  0.961940 -0.002670
  0.973470 -0.002310
  0.982960 -0.002030
  0.990390 -0.001820
  0.995720 -0.001360
  0.998930 -0.000980
  1.000000 -0.000870
