AH 93-W-480B
       54.       60.

  0.000000  0.000420
  0.000580  0.014030
  0.001230  0.021120
  0.002150  0.029070
  0.003510  0.037960
  0.005530  0.047850
  0.008470  0.058740
  0.012570  0.070580
  0.018050  0.083300
  0.025160  0.096820
  0.034150  0.111070
  0.045230  0.125920
  0.058590  0.141260
  0.074350  0.156920
  0.092640  0.172740
  0.113720  0.188490
  0.138020  0.203910
  0.165670  0.218640
  0.196550  0.232280
  0.230440  0.244430
  0.266970  0.254680
  0.305480  0.262690
  0.345170  0.268320
  0.385220  0.271620
  0.424980  0.272800
  0.463980  0.272170
  0.501950  0.270040
  0.538720  0.266710
  0.574240  0.262460
  0.608480  0.257460
  0.641420  0.251860
  0.673060  0.245770
  0.703370  0.239300
  0.732340  0.232540
  0.759960  0.225560
  0.786210  0.218450
  0.811080  0.211280
  0.834580  0.204140
  0.856710  0.197070
  0.877460  0.190160
  0.896830  0.183450
  0.914840  0.177000
  0.931540  0.170890
  0.946870  0.165100
  0.959510  0.158890
  0.969140  0.152260
  0.976630  0.145710
  0.982690  0.139630
  0.987610  0.134180
  0.991560  0.129440
  0.994670  0.125500
  0.997020  0.125190
  0.999910  0.110470
  1.000000  0.109900

  0.000000  0.000420
  0.000250 -0.008300
  0.000320 -0.009460
  0.000460 -0.011290
  0.000720 -0.014060
  0.001150 -0.017810
  0.001840 -0.022590
  0.002900 -0.028340
  0.004440 -0.034980
  0.006640 -0.042450
  0.009650 -0.050730
  0.013690 -0.059800
  0.018980 -0.069630
  0.025740 -0.080180
  0.034230 -0.091340
  0.044710 -0.103030
  0.057440 -0.115100
  0.072700 -0.127350
  0.090720 -0.139530
  0.111630 -0.151300
  0.135300 -0.162250
  0.161400 -0.172050
  0.189480 -0.180530
  0.219060 -0.187600
  0.249700 -0.193290
  0.281040 -0.197690
  0.312780 -0.200950
  0.344720 -0.203240
  0.376720 -0.204710
  0.408690 -0.205490
  0.440560 -0.205680
  0.472260 -0.205350
  0.503710 -0.204530
  0.534830 -0.203310
  0.565570 -0.201720
  0.595840 -0.199820
  0.625600 -0.197660
  0.654770 -0.195290
  0.683300 -0.192740
  0.711110 -0.190060
  0.738160 -0.187280
  0.764370 -0.184440
  0.789700 -0.181580
  0.814080 -0.178730
  0.837440 -0.175910
  0.859750 -0.173160
  0.880920 -0.170500
  0.900930 -0.167960
  0.919700 -0.165550
  0.937280 -0.163390
  0.953130 -0.160890
  0.965620 -0.156810
  0.974730 -0.151800
  0.981640 -0.146850
  0.987030 -0.142320
  0.991250 -0.138340
  0.994510 -0.135040
  0.996950 -0.132150
  0.999660 -0.124440
  1.000000 -0.124020
