AS5045 (15%)
       42.       40.

  0.000000  0.000080
  0.001730  0.006680
  0.005930  0.013660
  0.012630  0.020780
  0.021850  0.027870
  0.033610  0.034830
  0.047780  0.041610
  0.064360  0.048060
  0.083300  0.054160
  0.104460  0.059810
  0.127770  0.064960
  0.153150  0.069590
  0.180430  0.073670
  0.209460  0.077170
  0.240080  0.080050
  0.272110  0.082290
  0.305370  0.083870
  0.339670  0.084780
  0.374790  0.084990
  0.410520  0.084490
  0.446640  0.083250
  0.482920  0.081230
  0.519130  0.078310
  0.555160  0.074330
  0.590960  0.069230
  0.626800  0.062830
  0.663170  0.055430
  0.699820  0.048110
  0.736150  0.041320
  0.771530  0.035260
  0.805360  0.030000
  0.837210  0.025410
  0.866730  0.021400
  0.893670  0.017880
  0.917800  0.014770
  0.938920  0.011960
  0.956900  0.009350
  0.971860  0.006840
  0.983850  0.004610
  0.992620  0.002890
  0.998100  0.001680
  1.000000  0.001250

  0.000000  0.000080
  0.001090 -0.005300
  0.005870 -0.009900
  0.014340 -0.014760
  0.025920 -0.019800
  0.040360 -0.024960
  0.057470 -0.030170
  0.077030 -0.035360
  0.098840 -0.040370
  0.122770 -0.045070
  0.148720 -0.049370
  0.176570 -0.053210
  0.206180 -0.056570
  0.237350 -0.059430
  0.269890 -0.061750
  0.303590 -0.063490
  0.338260 -0.064580
  0.373690 -0.065010
  0.409680 -0.064730
  0.445970 -0.063730
  0.482290 -0.061810
  0.518610 -0.058840
  0.554780 -0.054720
  0.591030 -0.049220
  0.627590 -0.042650
  0.664560 -0.035350
  0.702150 -0.028150
  0.739490 -0.021650
  0.775770 -0.016010
  0.810590 -0.011270
  0.843510 -0.007390
  0.874130 -0.004400
  0.902080 -0.002240
  0.927010 -0.000850
  0.948610 -0.000080
  0.966710  0.000180
  0.981100  0.000020
  0.991550 -0.000450
  0.997860 -0.000990
  1.000000 -0.001250
