BE50 (smoothed)
       40.       40.

  0.000000 -0.000030
  0.000980  0.003820
  0.005480  0.009890
  0.013380  0.016620
  0.024330  0.023740
  0.038110  0.030980
  0.054680  0.038120
  0.073950  0.044910
  0.095760  0.051130
  0.119990  0.056620
  0.146480  0.061280
  0.175040  0.065050
  0.205490  0.067920
  0.237600  0.069930
  0.271200  0.071190
  0.306090  0.071800
  0.342040  0.071860
  0.378870  0.071440
  0.416380  0.070540
  0.454350  0.069110
  0.492650  0.067140
  0.530990  0.064660
  0.569370  0.061710
  0.607780  0.058350
  0.645940  0.054630
  0.683590  0.050580
  0.720430  0.046270
  0.756160  0.041760
  0.790480  0.037100
  0.823090  0.032380
  0.853700  0.027660
  0.882020  0.023050
  0.907750  0.018650
  0.930640  0.014570
  0.950440  0.010910
  0.966980  0.007770
  0.980370  0.005170
  0.990700  0.003140
  0.997540  0.001780
  1.000000  0.001290

  0.000000 -0.000030
  0.000980 -0.003320
  0.005480 -0.006950
  0.013380 -0.009560
  0.024330 -0.011270
  0.038110 -0.012240
  0.054680 -0.012560
  0.073950 -0.012290
  0.095760 -0.011520
  0.119990 -0.010330
  0.146480 -0.008820
  0.175040 -0.007090
  0.205490 -0.005220
  0.237600 -0.003230
  0.271200 -0.001150
  0.306090  0.001020
  0.342040  0.003300
  0.378870  0.005630
  0.416380  0.007920
  0.454350  0.010020
  0.492650  0.011770
  0.530990  0.013100
  0.569370  0.013970
  0.607780  0.014400
  0.645940  0.014400
  0.683590  0.014020
  0.720430  0.013310
  0.756160  0.012330
  0.790480  0.011140
  0.823090  0.009800
  0.853700  0.008360
  0.882020  0.006880
  0.907750  0.005400
  0.930640  0.003980
  0.950440  0.002650
  0.966980  0.001460
  0.980370  0.000410
  0.990700 -0.000460
  0.997540 -0.001070
  1.000000 -0.001300
