CH10 (smoothed)
       40.       40.

  0.000000  0.000140
  0.000980  0.005860
  0.005480  0.015310
  0.013380  0.026150
  0.024330  0.037930
  0.038110  0.050320
  0.054680  0.063120
  0.073950  0.076110
  0.095760  0.088960
  0.119990  0.101320
  0.146480  0.112910
  0.175040  0.123550
  0.205490  0.133100
  0.237600  0.141480
  0.271200  0.148590
  0.306090  0.154340
  0.342040  0.158620
  0.378870  0.161330
  0.416380  0.162400
  0.454350  0.161760
  0.492650  0.159420
  0.530990  0.155380
  0.569370  0.149700
  0.607780  0.142430
  0.645940  0.133740
  0.683590  0.123840
  0.720430  0.112980
  0.756160  0.101430
  0.790480  0.089420
  0.823090  0.077250
  0.853700  0.065220
  0.882020  0.053670
  0.907750  0.042920
  0.930640  0.033170
  0.950440  0.024520
  0.966980  0.017210
  0.980370  0.011110
  0.990700  0.005790
  0.997540  0.001690
  1.000000  0.000050

  0.000000  0.000140
  0.000980 -0.004500
  0.005480 -0.009140
  0.013380 -0.011790
  0.024330 -0.012690
  0.038110 -0.012090
  0.054680 -0.010280
  0.073950 -0.007590
  0.095760 -0.004350
  0.119990 -0.000760
  0.146480  0.003200
  0.175040  0.007480
  0.205490  0.012010
  0.237600  0.016670
  0.271200  0.021360
  0.306090  0.025970
  0.342040  0.030400
  0.378870  0.034570
  0.416380  0.038390
  0.454350  0.041780
  0.492650  0.044660
  0.530990  0.046930
  0.569370  0.048510
  0.607780  0.049330
  0.645940  0.049320
  0.683590  0.048450
  0.720430  0.046720
  0.756160  0.044230
  0.790480  0.041080
  0.823090  0.037390
  0.853700  0.033220
  0.882020  0.028670
  0.907750  0.023860
  0.930640  0.018960
  0.950440  0.014100
  0.966980  0.009360
  0.980370  0.005160
  0.990700  0.002120
  0.997540  0.000440
  1.000000 -0.000060
