CHEN AIRFOIL
       51.       48.

  0.000000  0.000000
  0.000356  0.001775
  0.001844  0.008470
  0.004708  0.016047
  0.009033  0.024298
  0.014799  0.033024
  0.022088  0.042016
  0.030478  0.051012
  0.040706  0.060447
  0.052233  0.069868
  0.065149  0.079165
  0.079347  0.088250
  0.094907  0.096912
  0.111533  0.105179
  0.129306  0.112843
  0.148217  0.119804
  0.167960  0.125989
  0.188526  0.131298
  0.209898  0.135531
  0.231958  0.138499
  0.254392  0.140028
  0.277157  0.139621
  0.299732  0.135918
  0.324569  0.129505
  0.353284  0.122850
  0.383967  0.115819
  0.416139  0.108657
  0.449384  0.101200
  0.483630  0.093754
  0.518571  0.086246
  0.554026  0.078895
  0.589507  0.071841
  0.624906  0.064996
  0.659943  0.058585
  0.694303  0.052434
  0.727805  0.046761
  0.760134  0.041392
  0.791108  0.036544
  0.820504  0.031937
  0.848239  0.027777
  0.873907  0.024001
  0.897609  0.020600
  0.919028  0.017401
  0.938074  0.014512
  0.954640  0.011842
  0.968815  0.009283
  0.980294  0.006762
  0.989050  0.003980
  0.995439  0.002712
  0.998789  0.001011
  1.000000  0.000000

  0.000000  0.000000
  0.000147 -0.004028
  0.001160 -0.008435
  0.003198 -0.011426
  0.006197 -0.013699
  0.010648 -0.015397
  0.017550 -0.016510
  0.026516 -0.016901
  0.037588 -0.016074
  0.051769 -0.014015
  0.069084 -0.010427
  0.086443 -0.006340
  0.106813 -0.002119
  0.127193  0.002203
  0.149609  0.006946
  0.175977  0.011139
  0.206254  0.014284
  0.226353  0.015418
  0.266351  0.015394
  0.296225  0.013956
  0.326037  0.011822
  0.358783  0.008926
  0.388517  0.005894
  0.417755  0.002907
  0.456761 -0.000442
  0.493546 -0.002893
  0.529563 -0.004974
  0.564877 -0.007093
  0.599424 -0.008843
  0.633220 -0.010025
  0.666231 -0.011038
  0.698349 -0.011971
  0.729773 -0.012842
  0.760006 -0.013609
  0.788849 -0.014253
  0.816411 -0.014682
  0.842538 -0.014383
  0.866904 -0.013627
  0.889989 -0.012657
  0.911405 -0.011338
  0.930638 -0.009827
  0.947985 -0.008149
  0.963059 -0.006169
  0.975626 -0.004269
  0.985642 -0.002946
  0.993026 -0.001993
  0.998028 -0.000829
  1.000000  0.000000
