DAE-21 AIRFOIL
       41.       40.

  0.000000  0.000000
  0.001950  0.009414
  0.005873  0.016834
  0.012841  0.025701
  0.023549  0.035857
  0.038174  0.046740
  0.056323  0.057667
  0.077309  0.068131
  0.100442  0.077809
  0.125168  0.086542
  0.151084  0.094281
  0.177914  0.101018
  0.205460  0.106787
  0.233550  0.111625
  0.262045  0.115558
  0.290834  0.118611
  0.319830  0.120806
  0.348977  0.122159
  0.378218  0.122694
  0.407504  0.122424
  0.436789  0.121364
  0.466037  0.119523
  0.495238  0.116904
  0.524445  0.113479
  0.553737  0.109223
  0.583183  0.104127
  0.612833  0.098191
  0.642720  0.091425
  0.672873  0.083849
  0.703354  0.075615
  0.734176  0.066910
  0.765284  0.057930
  0.796259  0.048975
  0.826865  0.040277
  0.857159  0.031961
  0.887292  0.024116
  0.917702  0.016740
  0.947690  0.010081
  0.970362  0.005491
  0.986712  0.002418
  1.000000  0.000000

  0.000000  0.000000
  0.000754 -0.005156
  0.002168 -0.008006
  0.004368 -0.010238
  0.007797 -0.012060
  0.013649 -0.013517
  0.024264 -0.014606
  0.041667 -0.015019
  0.065971 -0.014402
  0.094561 -0.013004
  0.125270 -0.011065
  0.156908 -0.008845
  0.189018 -0.006489
  0.221376 -0.004090
  0.253710 -0.001713
  0.285945  0.000607
  0.318098  0.002850
  0.350181  0.004992
  0.382191  0.007018
  0.414124  0.008900
  0.445983  0.010611
  0.477764  0.012139
  0.509469  0.013448
  0.541123  0.014516
  0.572755  0.015336
  0.604364  0.015911
  0.635944  0.016227
  0.667508  0.016271
  0.699070  0.016043
  0.730620  0.015556
  0.762132  0.014799
  0.793603  0.013756
  0.825055  0.012416
  0.856540  0.010778
  0.888225  0.008844
  0.920041  0.006631
  0.948500  0.004445
  0.970227  0.002642
  0.986570  0.001203
  1.000000  0.000000
