Davis AIRFOIL
       17.       17.

  0.000000  0.000000
  0.012500  0.017500
  0.025000  0.026800
  0.050000  0.040500
  0.075000  0.051000
  0.100000  0.060000
  0.150000  0.074000
  0.200000  0.082500
  0.250000  0.087500
  0.300000  0.090000
  0.400000  0.091500
  0.500000  0.086000
  0.600000  0.077000
  0.700000  0.062500
  0.800000  0.046000
  0.900000  0.025000
  1.000000  0.000000

  0.000000  0.000000
  0.012500 -0.010500
  0.025000 -0.014700
  0.050000 -0.020500
  0.075000 -0.024000
  0.100000 -0.026000
  0.150000 -0.027000
  0.200000 -0.026500
  0.250000 -0.024500
  0.300000 -0.022500
  0.400000 -0.017650
  0.500000 -0.013000
  0.600000 -0.010000
  0.700000 -0.007500
  0.800000 -0.004500
  0.900000 -0.002000
  1.000000  0.000000
