DRAGONFLY CANARD
       74.       67.

  0.000000  0.000000
  0.000146  0.002079
  0.000599  0.004323
  0.001341  0.006672
  0.002347  0.009141
  0.003614  0.011761
  0.005157  0.014561
  0.007016  0.017576
  0.009243  0.020845
  0.011911  0.024416
  0.015117  0.028347
  0.018983  0.032700
  0.023665  0.037551
  0.029335  0.042971
  0.036171  0.049006
  0.044312  0.055643
  0.053811  0.062784
  0.064602  0.070257
  0.076533  0.077869
  0.089416  0.085448
  0.103072  0.092869
  0.117346  0.100049
  0.132109  0.106930
  0.147259  0.113471
  0.162723  0.119645
  0.178444  0.125435
  0.194378  0.130829
  0.210490  0.135816
  0.226751  0.140392
  0.243132  0.144547
  0.259611  0.148275
  0.276171  0.151571
  0.292793  0.154429
  0.309467  0.156844
  0.326176  0.158812
  0.342898  0.160334
  0.359605  0.161403
  0.376257  0.162016
  0.392815  0.162160
  0.409260  0.161816
  0.425600  0.160968
  0.441886  0.159597
  0.458177  0.157705
  0.474503  0.155306
  0.490864  0.152411
  0.507286  0.149014
  0.523833  0.145114
  0.540581  0.140726
  0.557583  0.135880
  0.574878  0.130611
  0.592503  0.124965
  0.610480  0.119000
  0.628796  0.112794
  0.647363  0.106449
  0.666016  0.100065
  0.684601  0.093737
  0.703069  0.087523
  0.721439  0.081458
  0.739792  0.075541
  0.758211  0.069745
  0.776731  0.064037
  0.795366  0.058401
  0.814114  0.052819
  0.832966  0.047276
  0.851896  0.041762
  0.870863  0.036279
  0.889825  0.030838
  0.908725  0.025454
  0.927451  0.020160
  0.945751  0.015024
  0.963146  0.010174
  0.978916  0.005804
  0.992399  0.002088
  1.000000  0.000000

  0.000000  0.000000
  0.000180 -0.002181
  0.000725 -0.004356
  0.001629 -0.006510
  0.002878 -0.008631
  0.004481 -0.010686
  0.006468 -0.012625
  0.008868 -0.014391
  0.011706 -0.015957
  0.015010 -0.017310
  0.018839 -0.018478
  0.023290 -0.019536
  0.028509 -0.020603
  0.034685 -0.021771
  0.042066 -0.023041
  0.050937 -0.024342
  0.061601 -0.025604
  0.074331 -0.026792
  0.089128 -0.027934
  0.105576 -0.028983
  0.123163 -0.029879
  0.141495 -0.030609
  0.160306 -0.031199
  0.179400 -0.031663
  0.198671 -0.032017
  0.218054 -0.032268
  0.237514 -0.032431
  0.257023 -0.032508
  0.276571 -0.032506
  0.296140 -0.032429
  0.315730 -0.032279
  0.335333 -0.032060
  0.354933 -0.031776
  0.374496 -0.031427
  0.393994 -0.030999
  0.413456 -0.030472
  0.432932 -0.029846
  0.452455 -0.029126
  0.472054 -0.028325
  0.491741 -0.027458
  0.511505 -0.026546
  0.531320 -0.025601
  0.551165 -0.024626
  0.571039 -0.023626
  0.590945 -0.022603
  0.610883 -0.021566
  0.630845 -0.020521
  0.650819 -0.019472
  0.670788 -0.018425
  0.690747 -0.017386
  0.710694 -0.016357
  0.730630 -0.015338
  0.750559 -0.014333
  0.770477 -0.013343
  0.790387 -0.012368
  0.810277 -0.011410
  0.830139 -0.010472
  0.849959 -0.009562
  0.869708 -0.008675
  0.889259 -0.007776
  0.908496 -0.006815
  0.927319 -0.005757
  0.945541 -0.004587
  0.962801 -0.003316
  0.978547 -0.002010
  0.992197 -0.000762
  1.000000  0.000000
