(Dicke 12.28%)
       31.       31.

  0.000000  0.000000
  0.002970  0.006130
  0.011380  0.013140
  0.024610  0.020330
  0.042470  0.027390
  0.064810  0.034120
  0.091420  0.040340
  0.122070  0.045930
  0.156450  0.050780
  0.194220  0.054820
  0.235010  0.057960
  0.278390  0.060130
  0.323890  0.061270
  0.371020  0.061230
  0.419430  0.059840
  0.468870  0.057070
  0.519070  0.053020
  0.569750  0.047950
  0.620480  0.042280
  0.670620  0.036380
  0.719500  0.030520
  0.766410  0.024930
  0.810680  0.019800
  0.851600  0.015250
  0.888530  0.011340
  0.920860  0.008080
  0.948060  0.005360
  0.969850  0.003020
  0.986130  0.001200
  0.996440  0.000230
  1.000000  0.000000

  0.000000  0.000000
  0.002970 -0.006130
  0.011380 -0.013140
  0.024610 -0.020330
  0.042470 -0.027390
  0.064810 -0.034120
  0.091420 -0.040340
  0.122070 -0.045930
  0.156450 -0.050780
  0.194220 -0.054820
  0.235010 -0.057960
  0.278390 -0.060130
  0.323890 -0.061270
  0.371020 -0.061230
  0.419430 -0.059840
  0.468870 -0.057070
  0.519070 -0.053020
  0.569750 -0.047950
  0.620480 -0.042280
  0.670620 -0.036380
  0.719500 -0.030520
  0.766410 -0.024930
  0.810680 -0.019800
  0.851600 -0.015250
  0.888530 -0.011340
  0.920860 -0.008080
  0.948060 -0.005360
  0.969850 -0.003020
  0.986130 -0.001200
  0.996440 -0.000230
  1.000000  0.000000
