E182 (8.47%)
       30.       32.

  0.005600  0.008020
  0.015290  0.014560
  0.029430  0.021270
  0.047960  0.027840
  0.070780  0.034090
  0.097710  0.039890
  0.128500  0.045120
  0.162850  0.049680
  0.200420  0.053480
  0.240830  0.056430
  0.283630  0.058430
  0.328380  0.059370
  0.374640  0.059020
  0.422190  0.057230
  0.470800  0.054080
  0.520160  0.049670
  0.569960  0.044210
  0.619850  0.037990
  0.669430  0.031480
  0.717970  0.025100
  0.764770  0.019110
  0.809130  0.013740
  0.850360  0.009130
  0.887800  0.005410
  0.920840  0.002680
  0.948810  0.000980
  0.971040  0.000180
  0.987090 -0.000050
  0.996760 -0.000030
  1.000000  0.000000

  0.005600  0.008020
  0.000480  0.002160
  0.000950 -0.002750
  0.007180 -0.007270
  0.018520 -0.011580
  0.034920 -0.015420
  0.056250 -0.018660
  0.082410 -0.021270
  0.113180 -0.023270
  0.148280 -0.024680
  0.187350 -0.025540
  0.230010 -0.025900
  0.275790 -0.025820
  0.324190 -0.025360
  0.374670 -0.024570
  0.426660 -0.023510
  0.479560 -0.022250
  0.532750 -0.020810
  0.585630 -0.019240
  0.637580 -0.017570
  0.688000 -0.015850
  0.736310 -0.014090
  0.781950 -0.012330
  0.824380 -0.010580
  0.863110 -0.008880
  0.897690 -0.007230
  0.927690 -0.005640
  0.952760 -0.004070
  0.972720 -0.002490
  0.987520 -0.001090
  0.996810 -0.000250
  1.000000  0.000000
