E220  (11.48%)
       31.       31.

  0.001480  0.004520
  0.007610  0.012410
  0.018180  0.020950
  0.033070  0.029680
  0.052200  0.038300
  0.075430  0.046580
  0.102560  0.054320
  0.133370  0.061360
  0.167570  0.067540
  0.204850  0.072750
  0.244860  0.076870
  0.287200  0.079830
  0.331440  0.081520
  0.377140  0.081880
  0.423810  0.080720
  0.471130  0.077840
  0.518930  0.073170
  0.567070  0.066750
  0.615550  0.058900
  0.664080  0.050310
  0.712020  0.041560
  0.758650  0.033110
  0.803220  0.025310
  0.844940  0.018440
  0.883030  0.012690
  0.916710  0.008090
  0.945370  0.004560
  0.968550  0.002060
  0.985750  0.000620
  0.996390  0.000080
  1.000000  0.000000

  0.001480  0.004520
  0.000250 -0.001720
  0.004920 -0.006900
  0.015520 -0.012080
  0.031340 -0.016890
  0.052210 -0.021130
  0.077950 -0.024740
  0.108340 -0.027690
  0.143120 -0.029960
  0.181940 -0.031610
  0.224400 -0.032660
  0.270040 -0.033160
  0.318380 -0.033180
  0.368850 -0.032770
  0.420890 -0.031990
  0.473900 -0.030880
  0.527250 -0.029490
  0.580320 -0.027870
  0.632500 -0.026040
  0.683180 -0.024040
  0.731760 -0.021910
  0.777670 -0.019670
  0.820370 -0.017330
  0.859360 -0.014920
  0.894160 -0.012440
  0.924350 -0.009810
  0.949770 -0.006910
  0.970510 -0.003970
  0.986330 -0.001620
  0.996470 -0.000340
  1.000000  0.000000
