Eh 1.0/7.0
       51.       51.

  0.000000  0.000000
  0.000990  0.002480
  0.003940  0.005280
  0.008860  0.008450
  0.015710  0.011920
  0.024470  0.015580
  0.035110  0.019270
  0.047590  0.022920
  0.061850  0.026450
  0.077840  0.029800
  0.095490  0.032910
  0.114740  0.035740
  0.135220  0.038220
  0.157730  0.040350
  0.181290  0.042090
  0.206110  0.043410
  0.232090  0.044310
  0.259120  0.044790
  0.287110  0.044870
  0.315490  0.044560
  0.345490  0.043890
  0.375660  0.042880
  0.406310  0.041570
  0.437330  0.039990
  0.468610  0.038210
  0.500000  0.036240
  0.531400  0.034120
  0.562670  0.031900
  0.593690  0.029610
  0.624350  0.027290
  0.654510  0.024950
  0.684060  0.022650
  0.712890  0.020390
  0.740880  0.018190
  0.767910  0.016080
  0.793890  0.014060
  0.818710  0.012160
  0.842270  0.010370
  0.864480  0.008740
  0.885260  0.007240
  0.904510  0.005880
  0.922160  0.004670
  0.938150  0.003600
  0.952410  0.002660
  0.964890  0.001860
  0.975530  0.001210
  0.984290  0.000710
  0.991140  0.000360
  0.996060  0.000140
  0.999010  0.000030
  1.000000  0.000000

  0.000000  0.000000
  0.000990 -0.002290
  0.003940 -0.004540
  0.008860 -0.006810
  0.015710 -0.009090
  0.024470 -0.011270
  0.035110 -0.013280
  0.047590 -0.015120
  0.061850 -0.016770
  0.077840 -0.018220
  0.095490 -0.019500
  0.114740 -0.020630
  0.135220 -0.021600
  0.157730 -0.022470
  0.181290 -0.023210
  0.206110 -0.023830
  0.232090 -0.024360
  0.259120 -0.024790
  0.287110 -0.025130
  0.315490 -0.025350
  0.345490 -0.025490
  0.375660 -0.025510
  0.406310 -0.025420
  0.437330 -0.025200
  0.468610 -0.024850
  0.500000 -0.024360
  0.531400 -0.023730
  0.562670 -0.022950
  0.593690 -0.022040
  0.624350 -0.021000
  0.654510 -0.019830
  0.684060 -0.018550
  0.712890 -0.017180
  0.740880 -0.015740
  0.767910 -0.014260
  0.793890 -0.012740
  0.818710 -0.011240
  0.842270 -0.009600
  0.864480 -0.008340
  0.885260 -0.006990
  0.904510 -0.005730
  0.922160 -0.004590
  0.938150 -0.003560
  0.952410 -0.002650
  0.964890 -0.001860
  0.975530 -0.001200
  0.984290 -0.000710
  0.991140 -0.000360
  0.996060 -0.000140
  0.999010 -0.000040
  1.000000  0.000000
