EH 2.0/12
       51.       51.

  0.000000  0.000000
  0.000990  0.004270
  0.003940  0.009150
  0.008860  0.014700
  0.015710  0.020820
  0.024470  0.027280
  0.035110  0.033850
  0.047590  0.040350
  0.061850  0.046660
  0.077840  0.052660
  0.095490  0.058240
  0.114740  0.063320
  0.135520  0.067800
  0.157730  0.071620
  0.181290  0.074730
  0.206110  0.077090
  0.232090  0.078690
  0.259120  0.079520
  0.287110  0.079620
  0.315940  0.079010
  0.345490  0.077740
  0.375660  0.075870
  0.406310  0.073460
  0.437330  0.070580
  0.468610  0.067310
  0.500000  0.063730
  0.531400  0.059900
  0.562670  0.055890
  0.593690  0.051780
  0.624350  0.047620
  0.654510  0.043460
  0.684060  0.039370
  0.712890  0.035370
  0.740880  0.031500
  0.767910  0.027790
  0.793890  0.024270
  0.818710  0.020960
  0.842270  0.017880
  0.864480  0.015030
  0.885260  0.012440
  0.904510  0.010090
  0.922160  0.008010
  0.938150  0.006170
  0.952410  0.004560
  0.964890  0.003190
  0.975530  0.002070
  0.984290  0.001210
  0.991140  0.000610
  0.996060  0.000240
  0.999010  0.000060
  1.000000  0.000000

  0.000000  0.000000
  0.000990 -0.003900
  0.003940 -0.007670
  0.008860 -0.011440
  0.015710 -0.015160
  0.024470 -0.018690
  0.035110 -0.021920
  0.047590 -0.024810
  0.061850 -0.027360
  0.077840 -0.029590
  0.095490 -0.031530
  0.114740 -0.033230
  0.135520 -0.034700
  0.157730 -0.035990
  0.181290 -0.037110
  0.206110 -0.038090
  0.232090 -0.038940
  0.259120 -0.039670
  0.287110 -0.040280
  0.315940 -0.040750
  0.345490 -0.041090
  0.375660 -0.041270
  0.406310 -0.041280
  0.437330 -0.041090
  0.468610 -0.040690
  0.500000 -0.040060
  0.531400 -0.039190
  0.562670 -0.038060
  0.593690 -0.036690
  0.624350 -0.035080
  0.654510 -0.033240
  0.684060 -0.031190
  0.712890 -0.028970
  0.740880 -0.026610
  0.767910 -0.024160
  0.793890 -0.021640
  0.818710 -0.019120
  0.842270 -0.016630
  0.864480 -0.014230
  0.885260 -0.011940
  0.904510 -0.009800
  0.922160 -0.007850
  0.938150 -0.006090
  0.952410 -0.004530
  0.964890 -0.003180
  0.975530 -0.002060
  0.984290 -0.001210
  0.991140 -0.000610
  0.996060 -0.000240
  0.999010 -0.000060
  1.000000  0.000000
