EH 2.0/7.0
       51.       51.

  0.000000  0.000000
  0.000990  0.002570
  0.003940  0.005640
  0.008860  0.009260
  0.015710  0.013330
  0.024470  0.017720
  0.035110  0.022240
  0.047590  0.026790
  0.061850  0.031260
  0.077840  0.035540
  0.095490  0.039560
  0.114740  0.043230
  0.135220  0.046470
  0.157730  0.049230
  0.181290  0.051460
  0.206110  0.053120
  0.232090  0.054210
  0.259120  0.054720
  0.287110  0.054670
  0.315490  0.054090
  0.345490  0.053010
  0.375660  0.051500
  0.406310  0.049580
  0.437330  0.047340
  0.468610  0.044840
  0.500000  0.042130
  0.531400  0.039280
  0.562670  0.036340
  0.593690  0.033370
  0.624350  0.030410
  0.654510  0.027490
  0.684060  0.024680
  0.712890  0.021980
  0.740880  0.019410
  0.767910  0.016980
  0.793890  0.014720
  0.818710  0.012620
  0.842270  0.010760
  0.864480  0.008940
  0.885260  0.007370
  0.904510  0.005950
  0.922160  0.004710
  0.938150  0.003620
  0.952410  0.002670
  0.964890  0.001860
  0.975530  0.001210
  0.984290  0.000710
  0.991140  0.000360
  0.996060  0.000140
  0.999010  0.000030
  1.000000  0.000000

  0.000000  0.000000
  0.000990 -0.002200
  0.003940 -0.004180
  0.008860 -0.006000
  0.015710 -0.007680
  0.024470 -0.009130
  0.035110 -0.010310
  0.047590 -0.011250
  0.061850 -0.011960
  0.077840 -0.012470
  0.095490 -0.012850
  0.114740 -0.013140
  0.135520 -0.013360
  0.157730 -0.013600
  0.181290 -0.013840
  0.206110 -0.014120
  0.232090 -0.014460
  0.259120 -0.014870
  0.287110 -0.015330
  0.315940 -0.015830
  0.345490 -0.016360
  0.375660 -0.016890
  0.406310 -0.017400
  0.437330 -0.017850
  0.468610 -0.018220
  0.500000 -0.018460
  0.531400 -0.018570
  0.562670 -0.018510
  0.593690 -0.018280
  0.624350 -0.017870
  0.654510 -0.017290
  0.684060 -0.016510
  0.712890 -0.015580
  0.740880 -0.014520
  0.767910 -0.013350
  0.793890 -0.012090
  0.818710 -0.010780
  0.842270 -0.009210
  0.864480 -0.008140
  0.885260 -0.006870
  0.904510 -0.005660
  0.922160 -0.004550
  0.938150 -0.003540
  0.952410 -0.002640
  0.964890 -0.001850
  0.975530 -0.001200
  0.984290 -0.000710
  0.991140 -0.000360
  0.996060 -0.000140
  0.999010 -0.000040
  1.000000  0.000000
