FX 66-H-60
       49.       49.

  0.000000  0.000000
  0.001070  0.002720
  0.004280  0.005970
  0.009610  0.009700
  0.017040  0.013840
  0.026530  0.018290
  0.038060  0.022900
  0.051560  0.027510
  0.066990  0.031980
  0.084270  0.036150
  0.103320  0.039820
  0.124080  0.042780
  0.146450  0.044870
  0.170330  0.046080
  0.195620  0.046470
  0.222210  0.046150
  0.250000  0.045220
  0.278860  0.043770
  0.308660  0.041910
  0.339280  0.039730
  0.370590  0.037330
  0.402450  0.034760
  0.434740  0.032070
  0.467300  0.029340
  0.500000  0.026620
  0.532700  0.023930
  0.565260  0.021320
  0.597550  0.018820
  0.629410  0.016440
  0.660720  0.014210
  0.691340  0.012150
  0.721140  0.010280
  0.750000  0.008620
  0.777790  0.007170
  0.804380  0.005920
  0.829670  0.004890
  0.853550  0.004100
  0.875920  0.003540
  0.896680  0.003190
  0.915730  0.002960
  0.933010  0.002730
  0.948440  0.002410
  0.961940  0.002000
  0.973470  0.001550
  0.982960  0.001120
  0.990390  0.000710
  0.995720  0.000370
  0.998930  0.000120
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.002190
  0.004280 -0.003930
  0.009610 -0.005320
  0.017040 -0.006460
  0.026530 -0.007400
  0.038060 -0.008200
  0.051560 -0.008860
  0.066990 -0.009450
  0.084270 -0.009970
  0.103320 -0.010490
  0.124080 -0.011050
  0.146450 -0.011680
  0.170330 -0.012400
  0.195620 -0.013190
  0.222210 -0.014020
  0.250000 -0.014880
  0.278860 -0.015760
  0.308660 -0.016620
  0.339280 -0.017440
  0.370590 -0.018210
  0.402450 -0.018890
  0.434740 -0.019470
  0.467300 -0.019940
  0.500000 -0.020290
  0.532700 -0.020500
  0.565260 -0.020560
  0.597550 -0.020480
  0.629410 -0.020240
  0.660720 -0.019840
  0.691340 -0.019290
  0.721140 -0.018570
  0.750000 -0.017680
  0.777790 -0.016570
  0.804380 -0.015180
  0.829670 -0.013500
  0.853550 -0.011610
  0.875920 -0.009680
  0.896680 -0.007850
  0.915730 -0.006200
  0.933010 -0.004770
  0.948440 -0.003570
  0.961940 -0.002580
  0.973470 -0.001780
  0.982960 -0.001150
  0.990390 -0.000660
  0.995720 -0.000320
  0.998930 -0.000110
  1.000000  0.000000
