FX 69-PR-281
       49.       49.

  0.000000  0.000000
  0.001070  0.020430
  0.004280  0.038860
  0.009610  0.055710
  0.017040  0.071570
  0.026530  0.087000
  0.038060  0.101860
  0.051560  0.116000
  0.066990  0.129290
  0.084270  0.141290
  0.103320  0.151860
  0.124080  0.161000
  0.146450  0.168710
  0.170330  0.174860
  0.195620  0.179570
  0.222210  0.182860
  0.250000  0.184570
  0.278860  0.185140
  0.308660  0.184570
  0.339280  0.182860
  0.370590  0.180290
  0.402450  0.176570
  0.434740  0.171860
  0.467300  0.166140
  0.500000  0.159860
  0.532700  0.152860
  0.565260  0.145290
  0.597550  0.137290
  0.629410  0.128860
  0.660720  0.120000
  0.691340  0.111140
  0.721140  0.102140
  0.750000  0.093140
  0.777790  0.084140
  0.804380  0.075290
  0.829670  0.066710
  0.853550  0.058570
  0.875920  0.050710
  0.896680  0.043200
  0.915730  0.036430
  0.933010  0.029900
  0.948440  0.023860
  0.961940  0.018420
  0.973470  0.013570
  0.982960  0.009300
  0.990390  0.005710
  0.995720  0.002910
  0.998930  0.000860
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.016000
  0.004280 -0.030000
  0.009610 -0.042430
  0.017040 -0.053710
  0.026530 -0.064000
  0.038060 -0.073000
  0.051560 -0.080860
  0.066990 -0.087570
  0.084270 -0.093290
  0.103320 -0.097710
  0.124080 -0.100710
  0.146450 -0.102290
  0.170330 -0.102430
  0.195620 -0.101000
  0.222210 -0.098430
  0.250000 -0.094860
  0.278860 -0.090570
  0.308660 -0.085570
  0.339280 -0.080000
  0.370590 -0.073860
  0.402450 -0.067570
  0.434740 -0.061000
  0.467300 -0.054290
  0.500000 -0.047570
  0.532700 -0.041140
  0.565260 -0.034860
  0.597550 -0.028860
  0.629410 -0.023140
  0.660720 -0.017860
  0.691340 -0.013140
  0.721140 -0.008710
  0.750000 -0.004860
  0.777790 -0.001570
  0.804380  0.001140
  0.829670  0.003290
  0.853550  0.005000
  0.875920  0.006140
  0.896680  0.007200
  0.915730  0.007290
  0.933010  0.007170
  0.948440  0.006710
  0.961940  0.006040
  0.973470  0.005140
  0.982960  0.003960
  0.990390  0.002710
  0.995720  0.001600
  0.998930  0.000570
  1.000000  0.000000
