FX 72-LS-160
       49.       49.

  0.000000  0.000000
  0.001070  0.008340
  0.004280  0.018150
  0.009610  0.027460
  0.017040  0.036340
  0.026530  0.045800
  0.038060  0.055570
  0.051560  0.065530
  0.066990  0.075440
  0.084270  0.085250
  0.103320  0.094930
  0.124080  0.104320
  0.146450  0.113330
  0.170330  0.121840
  0.195620  0.129800
  0.222210  0.137100
  0.250000  0.143650
  0.278860  0.149370
  0.308660  0.154150
  0.339280  0.157920
  0.370590  0.160580
  0.402450  0.161880
  0.434740  0.161640
  0.467300  0.159820
  0.500000  0.156430
  0.532700  0.151390
  0.565260  0.144580
  0.597550  0.136150
  0.629410  0.126560
  0.660720  0.116390
  0.691340  0.106050
  0.721140  0.095790
  0.750000  0.085790
  0.777790  0.076200
  0.804380  0.067070
  0.829670  0.058410
  0.853550  0.050220
  0.875920  0.042520
  0.896680  0.035400
  0.915730  0.028870
  0.933010  0.022970
  0.948440  0.017690
  0.961940  0.013050
  0.973470  0.009100
  0.982960  0.005840
  0.990390  0.003300
  0.995720  0.001470
  0.998930  0.000370
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.005830
  0.004280 -0.008900
  0.009610 -0.010960
  0.017040 -0.013130
  0.026530 -0.014700
  0.038060 -0.015630
  0.051560 -0.015910
  0.066990 -0.015680
  0.084270 -0.015120
  0.103320 -0.014240
  0.124080 -0.013180
  0.146450 -0.011960
  0.170330 -0.010540
  0.195620 -0.009040
  0.222210 -0.007460
  0.250000 -0.005820
  0.278860 -0.004200
  0.308660 -0.002590
  0.339280 -0.001030
  0.370590  0.000460
  0.402450  0.001880
  0.434740  0.003210
  0.467300  0.004430
  0.500000  0.005530
  0.532700  0.006490
  0.565260  0.007310
  0.597550  0.007990
  0.629410  0.008560
  0.660720  0.008980
  0.691340  0.009290
  0.721140  0.009480
  0.750000  0.009590
  0.777790  0.009700
  0.804380  0.009870
  0.829670  0.010070
  0.853550  0.010230
  0.875920  0.010290
  0.896680  0.010170
  0.915730  0.009820
  0.933010  0.009160
  0.948440  0.008170
  0.961940  0.006900
  0.973470  0.005420
  0.982960  0.003900
  0.990390  0.002500
  0.995720  0.001350
  0.998930  0.000440
  1.000000  0.000000
