FX 74-CL6-140
       49.       49.

  0.000000  0.000000
  0.001070  0.007010
  0.004280  0.015330
  0.009610  0.024020
  0.017040  0.033040
  0.026530  0.042590
  0.038060  0.052470
  0.051560  0.062620
  0.066990  0.072800
  0.084270  0.082810
  0.103320  0.092500
  0.124080  0.101740
  0.146450  0.110370
  0.170330  0.118260
  0.195620  0.125250
  0.222210  0.131150
  0.250000  0.135800
  0.278860  0.139100
  0.308660  0.140930
  0.339280  0.141150
  0.370590  0.139580
  0.402450  0.136150
  0.434740  0.131100
  0.467300  0.124910
  0.500000  0.118090
  0.532700  0.111000
  0.565260  0.103790
  0.597550  0.096540
  0.629410  0.089330
  0.660720  0.082190
  0.691340  0.075170
  0.721140  0.068280
  0.750000  0.061590
  0.777790  0.055130
  0.804380  0.048920
  0.829670  0.043030
  0.853550  0.037420
  0.875920  0.032130
  0.896680  0.027240
  0.915730  0.022770
  0.933010  0.018690
  0.948440  0.014960
  0.961940  0.011540
  0.973470  0.008460
  0.982960  0.005740
  0.990390  0.003420
  0.995720  0.001640
  0.998930  0.000370
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.005140
  0.004280 -0.008190
  0.009610 -0.009930
  0.017040 -0.011150
  0.026530 -0.011880
  0.038060 -0.012230
  0.051560 -0.012200
  0.066990 -0.011810
  0.084270 -0.011060
  0.103320 -0.010030
  0.124080 -0.008860
  0.146450 -0.007590
  0.170330 -0.006270
  0.195620 -0.004910
  0.222210 -0.003530
  0.250000 -0.002170
  0.278860 -0.000860
  0.308660  0.000390
  0.339280  0.001570
  0.370590  0.002670
  0.402450  0.003710
  0.434740  0.004710
  0.467300  0.005710
  0.500000  0.006790
  0.532700  0.007950
  0.565260  0.009270
  0.597550  0.010880
  0.629410  0.012850
  0.660720  0.015070
  0.691340  0.017220
  0.721140  0.018990
  0.750000  0.020160
  0.777790  0.020690
  0.804380  0.020620
  0.829670  0.020010
  0.853550  0.018900
  0.875920  0.017360
  0.896680  0.015530
  0.915730  0.013490
  0.933010  0.011350
  0.948440  0.009130
  0.961940  0.006960
  0.973470  0.004970
  0.982960  0.003260
  0.990390  0.001880
  0.995720  0.000870
  0.998930  0.000200
  1.000000  0.000000
