FX 75-VG-166/22
       49.       49.

  0.000000  0.000000
  0.001070  0.006140
  0.004280  0.011710
  0.009610  0.017660
  0.017040  0.023890
  0.026530  0.030590
  0.038060  0.037390
  0.051560  0.044310
  0.066990  0.051070
  0.084270  0.057700
  0.103320  0.064010
  0.124080  0.070140
  0.146450  0.075960
  0.170330  0.081520
  0.195620  0.086660
  0.222210  0.091390
  0.250000  0.095630
  0.278860  0.099310
  0.308660  0.102370
  0.339280  0.104790
  0.370590  0.106600
  0.402450  0.107580
  0.434740  0.107880
  0.467300  0.107260
  0.500000  0.105850
  0.532700  0.103330
  0.565260  0.099870
  0.597550  0.094960
  0.629410  0.089060
  0.660720  0.081490
  0.691340  0.072520
  0.721140  0.062250
  0.750000  0.052890
  0.777790  0.043960
  0.804380  0.037540
  0.829670  0.032340
  0.853550  0.028260
  0.875920  0.024470
  0.896680  0.020800
  0.915730  0.017960
  0.933010  0.015010
  0.948440  0.012250
  0.961940  0.009610
  0.973470  0.007190
  0.982960  0.005060
  0.990390  0.003310
  0.995720  0.002040
  0.998930  0.001220
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.004740
  0.004280 -0.008910
  0.009610 -0.012860
  0.017040 -0.016550
  0.026530 -0.020260
  0.038060 -0.023810
  0.051560 -0.027390
  0.066990 -0.030800
  0.084270 -0.034160
  0.103320 -0.037340
  0.124080 -0.040430
  0.146450 -0.043320
  0.170330 -0.046030
  0.195620 -0.048530
  0.222210 -0.050820
  0.250000 -0.052890
  0.278860 -0.054670
  0.308660 -0.056220
  0.339280 -0.057450
  0.370590 -0.058430
  0.402450 -0.059020
  0.434740 -0.059380
  0.467300 -0.059270
  0.500000 -0.058930
  0.532700 -0.058020
  0.565260 -0.056890
  0.597550 -0.055060
  0.629410 -0.052970
  0.660720 -0.049950
  0.691340 -0.046410
  0.721140 -0.041630
  0.750000 -0.036340
  0.777790 -0.028440
  0.804380 -0.021360
  0.829670 -0.015060
  0.853550 -0.010290
  0.875920 -0.006360
  0.896680 -0.003300
  0.915730 -0.001450
  0.933010 -0.000100
  0.948440  0.000640
  0.961940  0.000880
  0.973470  0.000730
  0.982960  0.000270
  0.990390 -0.000280
  0.995720 -0.000630
  0.998930 -0.000870
  1.000000  0.000000
