FX 76-MP-120
       49.       49.

  0.000000  0.000000
  0.001070  0.005230
  0.004280  0.011910
  0.009610  0.019550
  0.017040  0.027910
  0.026530  0.036730
  0.038060  0.045830
  0.051560  0.055030
  0.066990  0.064180
  0.084270  0.073110
  0.103320  0.081690
  0.124080  0.089830
  0.146450  0.097460
  0.170330  0.104510
  0.195620  0.110940
  0.222210  0.116680
  0.250000  0.121690
  0.278860  0.125930
  0.308660  0.129360
  0.339280  0.131950
  0.370590  0.133690
  0.402450  0.134570
  0.434740  0.134560
  0.467300  0.133660
  0.500000  0.131860
  0.532700  0.129120
  0.565260  0.125430
  0.597550  0.120760
  0.629410  0.115110
  0.660720  0.108510
  0.691340  0.101060
  0.721140  0.092910
  0.750000  0.084300
  0.777790  0.075520
  0.804380  0.066880
  0.829670  0.058630
  0.853550  0.050870
  0.875920  0.043640
  0.896680  0.036940
  0.915730  0.030790
  0.933010  0.025170
  0.948440  0.020080
  0.961940  0.015530
  0.973470  0.011540
  0.982960  0.008150
  0.990390  0.005210
  0.995720  0.002720
  0.998930  0.000560
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.004440
  0.004280 -0.008070
  0.009610 -0.010970
  0.017040 -0.013190
  0.026530 -0.014580
  0.038060 -0.015140
  0.051560 -0.014940
  0.066990 -0.014090
  0.084270 -0.012680
  0.103320 -0.010880
  0.124080 -0.008790
  0.146450 -0.006460
  0.170330 -0.003980
  0.195620 -0.001410
  0.222210  0.001190
  0.250000  0.003760
  0.278860  0.006250
  0.308660  0.008620
  0.339280  0.010830
  0.370590  0.012870
  0.402450  0.014720
  0.434740  0.016370
  0.467300  0.017830
  0.500000  0.019090
  0.532700  0.020160
  0.565260  0.021050
  0.597550  0.021780
  0.629410  0.022370
  0.660720  0.022840
  0.691340  0.023200
  0.721140  0.023450
  0.750000  0.023570
  0.777790  0.023460
  0.804380  0.023060
  0.829670  0.022330
  0.853550  0.021230
  0.875920  0.019780
  0.896680  0.018010
  0.915730  0.015950
  0.933010  0.013690
  0.948440  0.011280
  0.961940  0.008810
  0.973470  0.006330
  0.982960  0.003960
  0.990390  0.001870
  0.995720  0.000530
  0.998930  0.000040
  1.000000  0.000000
