FX 77-W-270S
       49.       49.

  0.000000  0.000000
  0.001070  0.017540
  0.004280  0.027280
  0.009610  0.038970
  0.017040  0.050340
  0.026530  0.062610
  0.038060  0.075040
  0.051560  0.087730
  0.066990  0.100260
  0.084270  0.112610
  0.103320  0.124420
  0.124080  0.135560
  0.146450  0.145760
  0.170330  0.154890
  0.195620  0.162810
  0.222210  0.169310
  0.250000  0.174180
  0.278860  0.177150
  0.308660  0.178100
  0.339280  0.176830
  0.370590  0.172990
  0.402450  0.166780
  0.434740  0.159330
  0.467300  0.151340
  0.500000  0.142990
  0.532700  0.134530
  0.565260  0.126000
  0.597550  0.117600
  0.629410  0.109270
  0.660720  0.101040
  0.691340  0.093100
  0.721140  0.085420
  0.750000  0.078100
  0.777790  0.071070
  0.804380  0.064280
  0.829670  0.057710
  0.853550  0.051470
  0.875920  0.045620
  0.896680  0.040220
  0.915730  0.035200
  0.933010  0.030600
  0.948440  0.026500
  0.961940  0.022900
  0.973470  0.019800
  0.982960  0.017250
  0.990390  0.015250
  0.995720  0.013780
  0.998930  0.012770
  1.000000  0.012400

  0.000000  0.000000
  0.001070 -0.012750
  0.004280 -0.017710
  0.009610 -0.025380
  0.017040 -0.031610
  0.026530 -0.037390
  0.038060 -0.043160
  0.051560 -0.048870
  0.066990 -0.054290
  0.084270 -0.059400
  0.103320 -0.064370
  0.124080 -0.069110
  0.146450 -0.073590
  0.170330 -0.077730
  0.195620 -0.081540
  0.222210 -0.084970
  0.250000 -0.088070
  0.278860 -0.090700
  0.308660 -0.092750
  0.339280 -0.094290
  0.370590 -0.095350
  0.402450 -0.095740
  0.434740 -0.095450
  0.467300 -0.094320
  0.500000 -0.092460
  0.532700 -0.089540
  0.565260 -0.085290
  0.597550 -0.079470
  0.629410 -0.072270
  0.660720 -0.064810
  0.691340 -0.057460
  0.721140 -0.050900
  0.750000 -0.045040
  0.777790 -0.039900
  0.804380 -0.035300
  0.829670 -0.031300
  0.853550 -0.027700
  0.875920 -0.024370
  0.896680 -0.021150
  0.915730 -0.018000
  0.933010 -0.014980
  0.948440 -0.012300
  0.961940 -0.010010
  0.973470 -0.008120
  0.982960 -0.006580
  0.990390 -0.005460
  0.995720 -0.004690
  0.998930 -0.004260
  1.000000 -0.004120
