FX 78-K-161
       49.       49.

  0.000000  0.000000
  0.001070  0.004950
  0.004280  0.009340
  0.009610  0.014670
  0.017040  0.020810
  0.026530  0.027540
  0.038060  0.034450
  0.051560  0.041620
  0.066990  0.048750
  0.084270  0.055920
  0.103320  0.062870
  0.124080  0.069710
  0.146450  0.076160
  0.170330  0.082360
  0.195620  0.088010
  0.222210  0.093320
  0.250000  0.097880
  0.278860  0.101860
  0.308660  0.104910
  0.339280  0.107280
  0.370590  0.108610
  0.402450  0.109210
  0.434740  0.108670
  0.467300  0.107360
  0.500000  0.104710
  0.532700  0.101240
  0.565260  0.096130
  0.597550  0.090240
  0.629410  0.082970
  0.660720  0.074730
  0.691340  0.064750
  0.721140  0.054540
  0.750000  0.043800
  0.777790  0.034110
  0.804380  0.025500
  0.829670  0.021240
  0.853550  0.018250
  0.875920  0.015940
  0.896680  0.013470
  0.915730  0.011470
  0.933010  0.009470
  0.948440  0.007810
  0.961940  0.006200
  0.973470  0.004880
  0.982960  0.003650
  0.990390  0.002620
  0.995720  0.001720
  0.998930  0.001030
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.005130
  0.004280 -0.009690
  0.009610 -0.014350
  0.017040 -0.018160
  0.026530 -0.021780
  0.038060 -0.024990
  0.051560 -0.028150
  0.066990 -0.030970
  0.084270 -0.033770
  0.103320 -0.036240
  0.124080 -0.038700
  0.146450 -0.040810
  0.170330 -0.042940
  0.195620 -0.044680
  0.222210 -0.046450
  0.250000 -0.047820
  0.278860 -0.049210
  0.308660 -0.050180
  0.339280 -0.051200
  0.370590 -0.051760
  0.402450 -0.052380
  0.434740 -0.052500
  0.467300 -0.052700
  0.500000 -0.052330
  0.532700 -0.052060
  0.565260 -0.051130
  0.597550 -0.050300
  0.629410 -0.048760
  0.660720 -0.047260
  0.691340 -0.044780
  0.721140 -0.042200
  0.750000 -0.038570
  0.777790 -0.034960
  0.804380 -0.030050
  0.829670 -0.024980
  0.853550 -0.019530
  0.875920 -0.015090
  0.896680 -0.011050
  0.915730 -0.008000
  0.933010 -0.005460
  0.948440 -0.003730
  0.961940 -0.002450
  0.973470 -0.001710
  0.982960 -0.001230
  0.990390 -0.001030
  0.995720 -0.000960
  0.998930 -0.000880
  1.000000  0.000000
