FX 78-PK-188/20
       49.       49.

  0.000000  0.000000
  0.001070  0.004650
  0.004280  0.010140
  0.009610  0.016620
  0.017040  0.023490
  0.026530  0.030440
  0.038060  0.037510
  0.051560  0.044480
  0.066990  0.051400
  0.084270  0.058400
  0.103320  0.065390
  0.124080  0.072150
  0.146450  0.078600
  0.170330  0.084790
  0.195620  0.090700
  0.222210  0.096190
  0.250000  0.101140
  0.278860  0.105460
  0.308660  0.109180
  0.339280  0.112340
  0.370590  0.114840
  0.402450  0.116600
  0.434740  0.117560
  0.467300  0.117650
  0.500000  0.116830
  0.532700  0.114920
  0.565260  0.111750
  0.597550  0.107230
  0.629410  0.101240
  0.660720  0.093880
  0.691340  0.085510
  0.721140  0.076560
  0.750000  0.067570
  0.777790  0.058930
  0.804380  0.050760
  0.829670  0.043100
  0.853550  0.036020
  0.875920  0.029620
  0.896680  0.023960
  0.915730  0.019000
  0.933010  0.014700
  0.948440  0.011050
  0.961940  0.008020
  0.973470  0.005530
  0.982960  0.003530
  0.990390  0.001990
  0.995720  0.000880
  0.998930  0.000220
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.004340
  0.004280 -0.009010
  0.009610 -0.013900
  0.017040 -0.018400
  0.026530 -0.022620
  0.038060 -0.026940
  0.051560 -0.031340
  0.066990 -0.035660
  0.084270 -0.039720
  0.103320 -0.043560
  0.124080 -0.047250
  0.146450 -0.050850
  0.170330 -0.054220
  0.195620 -0.057270
  0.222210 -0.060080
  0.250000 -0.062700
  0.278860 -0.065060
  0.308660 -0.067010
  0.339280 -0.068480
  0.370590 -0.069550
  0.402450 -0.070280
  0.434740 -0.070580
  0.467300 -0.070310
  0.500000 -0.069380
  0.532700 -0.067850
  0.565260 -0.065710
  0.597550 -0.062790
  0.629410 -0.058900
  0.660720 -0.054010
  0.691340 -0.048320
  0.721140 -0.042130
  0.750000 -0.035860
  0.777790 -0.029940
  0.804380 -0.024570
  0.829670 -0.019780
  0.853550 -0.015470
  0.875920 -0.011640
  0.896680 -0.008370
  0.915730 -0.005790
  0.933010 -0.003920
  0.948440 -0.002680
  0.961940 -0.001850
  0.973470 -0.001240
  0.982960 -0.000780
  0.990390 -0.000430
  0.995720 -0.000190
  0.998930 -0.000050
  1.000000  0.000000
