FX 79-L-100
       49.       49.

  0.000000  0.000000
  0.001070  0.004310
  0.004280  0.008600
  0.009610  0.012840
  0.017040  0.016910
  0.026530  0.020760
  0.038060  0.024380
  0.051560  0.027790
  0.066990  0.031010
  0.084270  0.034060
  0.103320  0.036900
  0.124080  0.039530
  0.146450  0.041930
  0.170330  0.044080
  0.195620  0.045960
  0.222210  0.047540
  0.250000  0.048800
  0.278860  0.049700
  0.308660  0.050230
  0.339280  0.050330
  0.370590  0.049950
  0.402450  0.049070
  0.434740  0.047710
  0.467300  0.045880
  0.500000  0.043620
  0.532700  0.041020
  0.565260  0.038160
  0.597550  0.035150
  0.629410  0.032080
  0.660720  0.029030
  0.691340  0.026050
  0.721140  0.023180
  0.750000  0.020460
  0.777790  0.017900
  0.804380  0.015530
  0.829670  0.013340
  0.853550  0.011360
  0.875920  0.009580
  0.896680  0.008000
  0.915730  0.006620
  0.933010  0.005410
  0.948440  0.004350
  0.961940  0.003430
  0.973470  0.002660
  0.982960  0.002020
  0.990390  0.001560
  0.995720  0.001140
  0.998930  0.000900
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.004310
  0.004280 -0.008600
  0.009610 -0.012840
  0.017040 -0.016910
  0.026530 -0.020760
  0.038060 -0.024380
  0.051560 -0.027790
  0.066990 -0.031010
  0.084270 -0.034060
  0.103320 -0.036900
  0.124080 -0.039530
  0.146450 -0.041930
  0.170330 -0.044080
  0.195620 -0.045960
  0.222210 -0.047540
  0.250000 -0.048800
  0.278860 -0.049700
  0.308660 -0.050230
  0.339280 -0.050330
  0.370590 -0.049950
  0.402450 -0.049070
  0.434740 -0.047710
  0.467300 -0.045880
  0.500000 -0.043620
  0.532700 -0.041020
  0.565260 -0.038160
  0.597550 -0.035150
  0.629410 -0.032080
  0.660720 -0.029030
  0.691340 -0.026050
  0.721140 -0.023180
  0.750000 -0.020460
  0.777790 -0.017900
  0.804380 -0.015530
  0.829670 -0.013340
  0.853550 -0.011360
  0.875920 -0.009580
  0.896680 -0.008000
  0.915730 -0.006620
  0.933010 -0.005410
  0.948440 -0.004350
  0.961940 -0.003430
  0.973470 -0.002660
  0.982960 -0.002020
  0.990390 -0.001560
  0.995720 -0.001140
  0.998930 -0.000900
  1.000000  0.000000
