FX 79-W-470A
       49.       49.

  0.000000  0.000000
  0.001070  0.024940
  0.004280  0.040900
  0.009610  0.057750
  0.017040  0.073790
  0.026530  0.090410
  0.038060  0.107920
  0.051560  0.126520
  0.066990  0.145020
  0.084270  0.162550
  0.103320  0.179180
  0.124080  0.195120
  0.146450  0.210210
  0.170330  0.224040
  0.195620  0.236040
  0.222210  0.245800
  0.250000  0.253510
  0.278860  0.259010
  0.308660  0.262380
  0.339280  0.263460
  0.370590  0.262400
  0.402450  0.259030
  0.434740  0.254060
  0.467300  0.248120
  0.500000  0.241140
  0.532700  0.233650
  0.565260  0.225630
  0.597550  0.216550
  0.629410  0.206380
  0.660720  0.195890
  0.691340  0.185750
  0.721140  0.175920
  0.750000  0.166310
  0.777790  0.157130
  0.804380  0.148870
  0.829670  0.141200
  0.853550  0.134000
  0.875920  0.127300
  0.896680  0.121360
  0.915730  0.116100
  0.933010  0.111720
  0.948440  0.109050
  0.961940  0.106540
  0.973470  0.102300
  0.982960  0.093820
  0.990390  0.083220
  0.995720  0.068930
  0.998930  0.029750
  1.000000  0.032090

  0.000000  0.000000
  0.001070 -0.010000
  0.004280 -0.023320
  0.009610 -0.036190
  0.017040 -0.048070
  0.026530 -0.060200
  0.038060 -0.071920
  0.051560 -0.083550
  0.066990 -0.095000
  0.084270 -0.106300
  0.103320 -0.117790
  0.124080 -0.129200
  0.146450 -0.140130
  0.170330 -0.150560
  0.195620 -0.160330
  0.222210 -0.169410
  0.250000 -0.177680
  0.278860 -0.185110
  0.308660 -0.191560
  0.339280 -0.197100
  0.370590 -0.201290
  0.402450 -0.203550
  0.434740 -0.204000
  0.467300 -0.203230
  0.500000 -0.201410
  0.532700 -0.198050
  0.565260 -0.192470
  0.597550 -0.185000
  0.629410 -0.176270
  0.660720 -0.166830
  0.691340 -0.157010
  0.721140 -0.147190
  0.750000 -0.138410
  0.777790 -0.131020
  0.804380 -0.124690
  0.829670 -0.118630
  0.853550 -0.112680
  0.875920 -0.107190
  0.896680 -0.103080
  0.915730 -0.099840
  0.933010 -0.097210
  0.948440 -0.096040
  0.961940 -0.094910
  0.973470 -0.091980
  0.982960 -0.085280
  0.990390 -0.076750
  0.995720 -0.064410
  0.998930 -0.038540
  1.000000 -0.032180
