FX 83-W-227
       49.       49.

  0.000000  0.000000
  0.001070  0.007710
  0.004280  0.016260
  0.009610  0.025570
  0.017040  0.035420
  0.026530  0.045530
  0.038060  0.055690
  0.051560  0.065880
  0.066990  0.076030
  0.084270  0.086000
  0.103320  0.095650
  0.124080  0.104830
  0.146450  0.113410
  0.170330  0.121270
  0.195620  0.128240
  0.222210  0.134220
  0.250000  0.139110
  0.278860  0.142860
  0.308660  0.145460
  0.339280  0.146900
  0.370590  0.147200
  0.402450  0.146400
  0.434740  0.144550
  0.467300  0.141690
  0.500000  0.137840
  0.532700  0.133060
  0.565260  0.127440
  0.597550  0.121140
  0.629410  0.114250
  0.660720  0.106890
  0.691340  0.099160
  0.721140  0.091190
  0.750000  0.083100
  0.777790  0.075010
  0.804380  0.067040
  0.829670  0.059280
  0.853550  0.051760
  0.875920  0.044500
  0.896680  0.037530
  0.915730  0.030900
  0.933010  0.024710
  0.948440  0.019010
  0.961940  0.013910
  0.973470  0.009500
  0.982960  0.005900
  0.990390  0.003240
  0.995720  0.001420
  0.998930  0.000580
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.007290
  0.004280 -0.014620
  0.009610 -0.022190
  0.017040 -0.029850
  0.026530 -0.037110
  0.038060 -0.043740
  0.051560 -0.049710
  0.066990 -0.055070
  0.084270 -0.059850
  0.103320 -0.064050
  0.124080 -0.067700
  0.146450 -0.070850
  0.170330 -0.073540
  0.195620 -0.075760
  0.222210 -0.077500
  0.250000 -0.078760
  0.278860 -0.079530
  0.308660 -0.079790
  0.339280 -0.079550
  0.370590 -0.078810
  0.402450 -0.077600
  0.434740 -0.075900
  0.467300 -0.073700
  0.500000 -0.070960
  0.532700 -0.067710
  0.565260 -0.064010
  0.597550 -0.059920
  0.629410 -0.055530
  0.660720 -0.050930
  0.691340 -0.046240
  0.721140 -0.041560
  0.750000 -0.036990
  0.777790 -0.032580
  0.804380 -0.028410
  0.829670 -0.024530
  0.853550 -0.020980
  0.875920 -0.017770
  0.896680 -0.014810
  0.915730 -0.012020
  0.933010 -0.009390
  0.948440 -0.006980
  0.961940 -0.004870
  0.973470 -0.003110
  0.982960 -0.001740
  0.990390 -0.000850
  0.995720 -0.000320
  0.998930 -0.000300
  1.000000  0.000000
