GEMINI (smoothed)
       40.       40.

  0.000000  0.000010
  0.000980  0.004970
  0.005480  0.012120
  0.013380  0.019750
  0.024330  0.027640
  0.038110  0.036100
  0.054680  0.045230
  0.073950  0.054530
  0.095760  0.063340
  0.119990  0.071370
  0.146480  0.078510
  0.175040  0.084690
  0.205490  0.089820
  0.237600  0.093830
  0.271200  0.096660
  0.306090  0.098320
  0.342040  0.098860
  0.378870  0.098350
  0.416380  0.096890
  0.454350  0.094550
  0.492650  0.091380
  0.530990  0.087450
  0.569370  0.082780
  0.607780  0.077450
  0.645940  0.071610
  0.683590  0.065390
  0.720430  0.058930
  0.756160  0.052360
  0.790480  0.045810
  0.823090  0.039440
  0.853700  0.033350
  0.882020  0.027570
  0.907750  0.022130
  0.930640  0.017200
  0.950440  0.013000
  0.966980  0.009190
  0.980370  0.006230
  0.990700  0.004190
  0.997540  0.001510
  1.000000  0.000140

  0.000000  0.000010
  0.000980 -0.004930
  0.005480 -0.011640
  0.013380 -0.017840
  0.024330 -0.023290
  0.038110 -0.028260
  0.054680 -0.032880
  0.073950 -0.037240
  0.095760 -0.041360
  0.119990 -0.045120
  0.146480 -0.048250
  0.175040 -0.050670
  0.205490 -0.052460
  0.237600 -0.053760
  0.271200 -0.054610
  0.306090 -0.055010
  0.342040 -0.054930
  0.378870 -0.054330
  0.416380 -0.053230
  0.454350 -0.051620
  0.492650 -0.049550
  0.530990 -0.047090
  0.569370 -0.044300
  0.607780 -0.041240
  0.645940 -0.037980
  0.683590 -0.034610
  0.720430 -0.031210
  0.756160 -0.027820
  0.790480 -0.024460
  0.823090 -0.021180
  0.853700 -0.018020
  0.882020 -0.015060
  0.907750 -0.012330
  0.930640 -0.009870
  0.950440 -0.007780
  0.966980 -0.006380
  0.980370 -0.005220
  0.990700 -0.003440
  0.997540 -0.001170
  1.000000 -0.000010
