GM15 (smoothed)
       40.       40.

  0.000000 -0.000190
  0.000980  0.003220
  0.005480  0.008520
  0.013380  0.014330
  0.024330  0.020520
  0.038110  0.026980
  0.054680  0.033540
  0.073950  0.040030
  0.095760  0.046290
  0.119990  0.052100
  0.146480  0.057310
  0.175040  0.061820
  0.205490  0.065610
  0.237600  0.068660
  0.271200  0.070970
  0.306090  0.072550
  0.342040  0.073390
  0.378870  0.073520
  0.416380  0.072950
  0.454350  0.071720
  0.492650  0.069880
  0.530990  0.067510
  0.569370  0.064670
  0.607780  0.061400
  0.645940  0.057790
  0.683590  0.053860
  0.720430  0.049630
  0.756160  0.045110
  0.790480  0.040300
  0.823090  0.035240
  0.853700  0.030010
  0.882020  0.024740
  0.907750  0.019690
  0.930640  0.015160
  0.950440  0.011490
  0.966980  0.008650
  0.980370  0.006160
  0.990700  0.003560
  0.997540  0.001140
  1.000000  0.000060

  0.000000 -0.000190
  0.000980 -0.003120
  0.005480 -0.006340
  0.013380 -0.008680
  0.024330 -0.010360
  0.038110 -0.011500
  0.054680 -0.012100
  0.073950 -0.012070
  0.095760 -0.011360
  0.119990 -0.009960
  0.146480 -0.007850
  0.175040 -0.005100
  0.205490 -0.001790
  0.237600  0.001910
  0.271200  0.005860
  0.306090  0.009880
  0.342040  0.013790
  0.378870  0.017410
  0.416380  0.020600
  0.454350  0.023240
  0.492650  0.025260
  0.530990  0.026610
  0.569370  0.027320
  0.607780  0.027400
  0.645940  0.026920
  0.683590  0.025940
  0.720430  0.024560
  0.756160  0.022870
  0.790480  0.020880
  0.823090  0.018580
  0.853700  0.015980
  0.882020  0.013170
  0.907750  0.010330
  0.930640  0.007650
  0.950440  0.005280
  0.966980  0.003320
  0.980370  0.001790
  0.990700  0.000750
  0.997540  0.000170
  1.000000 -0.000010
