HSNLF(1)-0213 AIRFOIL
       60.       60.

  0.000000  0.000000
  0.000208  0.003016
  0.000440  0.004290
  0.000677  0.005272
  0.000915  0.006101
  0.001396  0.007489
  0.001880  0.008652
  0.002366  0.009669
  0.004811  0.013580
  0.009739  0.018804
  0.019645  0.025509
  0.029576  0.030466
  0.039520  0.034551
  0.049470  0.038124
  0.059426  0.041315
  0.079349  0.046830
  0.089315  0.049266
  0.099283  0.051529
  0.124213  0.056548
  0.149153  0.060850
  0.174102  0.064557
  0.199057  0.067743
  0.224019  0.070481
  0.248986  0.072820
  0.273959  0.074778
  0.298936  0.076387
  0.323918  0.077657
  0.348905  0.078596
  0.373896  0.079224
  0.398892  0.079540
  0.423891  0.079554
  0.448895  0.079243
  0.473904  0.078612
  0.498917  0.077619
  0.523936  0.076242
  0.548961  0.074402
  0.573994  0.072051
  0.599035  0.069095
  0.624085  0.065487
  0.649144  0.061205
  0.674211  0.056339
  0.679226  0.055307
  0.699285  0.051035
  0.724361  0.045524
  0.749438  0.039954
  0.774512  0.034599
  0.779527  0.033546
  0.799584  0.029393
  0.819639  0.025460
  0.824652  0.024509
  0.849716  0.019907
  0.874774  0.015657
  0.899826  0.011921
  0.919864  0.009188
  0.924873  0.008537
  0.949914  0.005581
  0.974951  0.002886
  0.979958  0.002405
  0.989970  0.001515
  1.000000  0.000670

  0.000000  0.000000
  0.000272 -0.001595
  0.000532 -0.002295
  0.000790 -0.002849
  0.001046 -0.003330
  0.001558 -0.004169
  0.002068 -0.004894
  0.002577 -0.005529
  0.005110 -0.007887
  0.010153 -0.011060
  0.020211 -0.015231
  0.030255 -0.018379
  0.040291 -0.020990
  0.050322 -0.023206
  0.060349 -0.025182
  0.080397 -0.028649
  0.090419 -0.030207
  0.100439 -0.031680
  0.125485 -0.034989
  0.150525 -0.037877
  0.175559 -0.040393
  0.200589 -0.042569
  0.225616 -0.044504
  0.250640 -0.046231
  0.275661 -0.047753
  0.300679 -0.049092
  0.325695 -0.050252
  0.350708 -0.051231
  0.375719 -0.052013
  0.400727 -0.052605
  0.425732 -0.053006
  0.450735 -0.053209
  0.475735 -0.053197
  0.500732 -0.053026
  0.525727 -0.052720
  0.550719 -0.052153
  0.575708 -0.051326
  0.600692 -0.050221
  0.625672 -0.048793
  0.650645 -0.046902
  0.675611 -0.044459
  0.680604 -0.043896
  0.700566 -0.041198
  0.725497 -0.036272
  0.750419 -0.030638
  0.775354 -0.025981
  0.780342 -0.025153
  0.800298 -0.022015
  0.820258 -0.019103
  0.825248 -0.018409
  0.850202 -0.015141
  0.875161 -0.012169
  0.900122 -0.009375
  0.920092 -0.007240
  0.925085 -0.006725
  0.950051 -0.004323
  0.975023 -0.002286
  0.980018 -0.001933
  0.990009 -0.001276
  1.000000 -0.000670
