JN-153 AIRFOIL
       66.       55.

  0.000000  0.000000
  0.002348  0.014016
  0.004877  0.021006
  0.008297  0.028346
  0.012616  0.035957
  0.017825  0.043777
  0.023915  0.051737
  0.030864  0.059798
  0.038663  0.067879
  0.047303  0.075959
  0.056752  0.083960
  0.067001  0.091841
  0.078021  0.099542
  0.089790  0.107013
  0.102319  0.114184
  0.115619  0.121035
  0.129668  0.127566
  0.144408  0.133778
  0.159807  0.139609
  0.175807  0.145040
  0.192366  0.150042
  0.209446  0.154573
  0.226986  0.158575
  0.244955  0.162016
  0.263315  0.164808
  0.282115  0.166950
  0.301295  0.168441
  0.320795  0.169293
  0.340555  0.169474
  0.360505  0.168936
  0.380555  0.167598
  0.400625  0.165380
  0.420536  0.161891
  0.441016  0.156583
  0.462167  0.150155
  0.485627  0.143267
  0.509268  0.136069
  0.533539  0.128731
  0.558259  0.121323
  0.583290  0.113945
  0.608471  0.106647
  0.633691  0.099459
  0.658802  0.092441
  0.683702  0.085603
  0.708243  0.078975
  0.732344  0.072577
  0.755884  0.066429
  0.778775  0.060541
  0.800895  0.054913
  0.822176  0.049555
  0.842536  0.044477
  0.861877  0.039668
  0.880137  0.035130
  0.897237  0.030871
  0.913138  0.026863
  0.927758  0.023124
  0.941068  0.019625
  0.953009  0.016366
  0.963539  0.013317
  0.972649  0.010418
  0.980429  0.007618
  0.987020  0.005029
  0.992410  0.002839
  0.996500  0.001230
  0.999100  0.000290
  1.000000  0.000000

  0.000000  0.000000
  0.000245 -0.003959
  0.001410 -0.008564
  0.003710 -0.011834
  0.007780 -0.013974
  0.013880 -0.015593
  0.021721 -0.016823
  0.031190 -0.017732
  0.042231 -0.018331
  0.054771 -0.018660
  0.068761 -0.018749
  0.084121 -0.018607
  0.100821 -0.018266
  0.118771 -0.017735
  0.137921 -0.017023
  0.158191 -0.016141
  0.179510 -0.015109
  0.201810 -0.013928
  0.225010 -0.012585
  0.249030 -0.011093
  0.273790 -0.009381
  0.299290 -0.007379
  0.325610 -0.005177
  0.352680 -0.002875
  0.380389 -0.000542
  0.408659  0.001760
  0.437359  0.004002
  0.466409  0.006155
  0.495689  0.008177
  0.525089  0.010040
  0.554509  0.011742
  0.583839  0.013245
  0.612958  0.014537
  0.641758  0.015620
  0.670138  0.016472
  0.697998  0.017084
  0.725208  0.017467
  0.751688  0.017599
  0.777308  0.017511
  0.801998  0.017183
  0.825628  0.016645
  0.848128  0.015887
  0.869399  0.014939
  0.889339  0.013821
  0.907879  0.012542
  0.924929  0.011134
  0.940409  0.009615
  0.954259  0.008036
  0.966389  0.006407
  0.976720  0.004768
  0.985150  0.003239
  0.991680  0.001919
  0.996320  0.000890
  0.999080  0.000230
  1.000000  0.000000
