K3311  (original)
       25.       25.

  0.000000  0.000000
  0.010000  0.015630
  0.020000  0.023270
  0.040000  0.034980
  0.060000  0.044120
  0.080000  0.051300
  0.100000  0.057480
  0.150000  0.069660
  0.200000  0.077760
  0.250000  0.083100
  0.300000  0.085950
  0.350000  0.087020
  0.400000  0.086180
  0.450000  0.083470
  0.500000  0.079660
  0.550000  0.074850
  0.600000  0.068950
  0.650000  0.061700
  0.700000  0.054760
  0.750000  0.046700
  0.800000  0.038420
  0.850000  0.029310
  0.900000  0.020090
  0.950000  0.010430
  1.000000  0.000000

  0.000000  0.000000
  0.010000 -0.010360
  0.020000 -0.012850
  0.040000 -0.016350
  0.060000 -0.018960
  0.080000 -0.020450
  0.100000 -0.021690
  0.150000 -0.023870
  0.200000 -0.024920
  0.250000 -0.024680
  0.300000 -0.024050
  0.350000 -0.022600
  0.400000 -0.021130
  0.450000 -0.018830
  0.500000 -0.016080
  0.550000 -0.013270
  0.600000 -0.010530
  0.650000 -0.008120
  0.700000 -0.005920
  0.750000 -0.003960
  0.800000 -0.002320
  0.850000 -0.001210
  0.900000 -0.000510
  0.950000 -0.000540
  1.000000  0.000000
