K3311 (smoothed)
       40.       40.

  0.000000  0.000000
  0.000980  0.004320
  0.005480  0.011000
  0.013380  0.018290
  0.024330  0.025930
  0.038110  0.033720
  0.054680  0.041470
  0.073950  0.048990
  0.095760  0.056090
  0.119990  0.062670
  0.146480  0.068610
  0.175040  0.073810
  0.205490  0.078210
  0.237600  0.081740
  0.271200  0.084360
  0.306090  0.086040
  0.342040  0.086740
  0.378870  0.086470
  0.416380  0.085250
  0.454350  0.083150
  0.492650  0.080250
  0.530990  0.076660
  0.569370  0.072460
  0.607780  0.067720
  0.645940  0.062570
  0.683590  0.057130
  0.720430  0.051500
  0.756160  0.045750
  0.790480  0.039990
  0.823090  0.034300
  0.853700  0.028790
  0.882020  0.023570
  0.907750  0.018710
  0.930640  0.014300
  0.950440  0.010400
  0.966980  0.007060
  0.980370  0.004280
  0.990700  0.002060
  0.997540  0.000550
  1.000000  0.000000

  0.000000  0.000000
  0.000980 -0.003810
  0.005480 -0.008220
  0.013380 -0.011710
  0.024330 -0.014440
  0.038110 -0.016660
  0.054680 -0.018590
  0.073950 -0.020330
  0.095760 -0.021890
  0.119990 -0.023200
  0.146480 -0.024220
  0.175040 -0.024910
  0.205490 -0.025250
  0.237600 -0.025240
  0.271200 -0.024900
  0.306090 -0.024240
  0.342040 -0.023290
  0.378870 -0.022070
  0.416380 -0.020570
  0.454350 -0.018790
  0.492650 -0.016790
  0.530990 -0.014660
  0.569370 -0.012530
  0.607780 -0.010490
  0.645940 -0.008590
  0.683590 -0.006860
  0.720430 -0.005310
  0.756160 -0.003960
  0.790480 -0.002830
  0.823090 -0.001950
  0.853700 -0.001320
  0.882020 -0.000940
  0.907750 -0.000740
  0.930640 -0.000670
  0.950440 -0.000630
  0.966980 -0.000570
  0.980370 -0.000440
  0.990700 -0.000260
  0.997540 -0.000080
  1.000000  0.000000
