LWK 79-100
       49.       49.

  0.000000  0.000000
  0.001070  0.004340
  0.004280  0.008830
  0.009610  0.013410
  0.017040  0.017820
  0.026530  0.022010
  0.038060  0.026060
  0.051560  0.029900
  0.066990  0.033480
  0.084270  0.036750
  0.103320  0.039680
  0.124080  0.042250
  0.146450  0.044470
  0.170330  0.046300
  0.195620  0.047770
  0.222210  0.048860
  0.250000  0.049610
  0.278860  0.049970
  0.308660  0.049890
  0.339280  0.049330
  0.370590  0.048350
  0.402450  0.046990
  0.434740  0.045240
  0.467300  0.043100
  0.500000  0.040540
  0.532700  0.037620
  0.565260  0.034430
  0.597550  0.031090
  0.629410  0.027790
  0.660720  0.024640
  0.691340  0.021710
  0.721140  0.019050
  0.750000  0.016640
  0.777790  0.014500
  0.804380  0.012600
  0.829670  0.010910
  0.853550  0.009390
  0.875920  0.007990
  0.896680  0.006700
  0.915730  0.005500
  0.933010  0.004390
  0.948440  0.003390
  0.961940  0.002510
  0.973470  0.001750
  0.982960  0.001130
  0.990390  0.000630
  0.995720  0.000280
  0.998930  0.000070
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.004340
  0.004280 -0.008830
  0.009610 -0.013410
  0.017040 -0.017820
  0.026530 -0.022010
  0.038060 -0.026060
  0.051560 -0.029900
  0.066990 -0.033480
  0.084270 -0.036750
  0.103320 -0.039680
  0.124080 -0.042250
  0.146450 -0.044470
  0.170330 -0.046300
  0.195620 -0.047770
  0.222210 -0.048860
  0.250000 -0.049610
  0.278860 -0.049970
  0.308660 -0.049890
  0.339280 -0.049330
  0.370590 -0.048350
  0.402450 -0.046990
  0.434740 -0.045240
  0.467300 -0.043100
  0.500000 -0.040540
  0.532700 -0.037620
  0.565260 -0.034430
  0.597550 -0.031090
  0.629410 -0.027790
  0.660720 -0.024640
  0.691340 -0.021710
  0.721140 -0.019050
  0.750000 -0.016640
  0.777790 -0.014500
  0.804380 -0.012600
  0.829670 -0.010910
  0.853550 -0.009390
  0.875920 -0.007990
  0.896680 -0.006700
  0.915730 -0.005500
  0.933010 -0.004390
  0.948440 -0.003390
  0.961940 -0.002510
  0.973470 -0.001750
  0.982960 -0.001130
  0.990390 -0.000630
  0.995720 -0.000280
  0.998930 -0.000070
  1.000000  0.000000
