LWK 80-120/K25
       49.       49.

  0.000000  0.000000
  0.001070  0.004480
  0.004280  0.009040
  0.009610  0.013660
  0.017040  0.018220
  0.026530  0.022610
  0.038060  0.026750
  0.051560  0.030640
  0.066990  0.034300
  0.084270  0.037750
  0.103320  0.040990
  0.124080  0.044030
  0.146450  0.046850
  0.170330  0.049450
  0.195620  0.051800
  0.222210  0.053900
  0.250000  0.055720
  0.278860  0.057260
  0.308660  0.058500
  0.339280  0.059430
  0.370590  0.060040
  0.402450  0.060310
  0.434740  0.060230
  0.467300  0.059770
  0.500000  0.058910
  0.532700  0.057600
  0.565260  0.055780
  0.597550  0.053400
  0.629410  0.050430
  0.660720  0.046900
  0.691340  0.042910
  0.721140  0.038590
  0.750000  0.034090
  0.777790  0.029580
  0.804380  0.025230
  0.829670  0.021180
  0.853550  0.017550
  0.875920  0.014370
  0.896680  0.011630
  0.915730  0.009300
  0.933010  0.007340
  0.948440  0.005720
  0.961940  0.004380
  0.973470  0.003280
  0.982960  0.002380
  0.990390  0.001690
  0.995720  0.001100
  0.998930  0.000770
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.004480
  0.004280 -0.009040
  0.009610 -0.013660
  0.017040 -0.018220
  0.026530 -0.022610
  0.038060 -0.026750
  0.051560 -0.030640
  0.066990 -0.034300
  0.084270 -0.037750
  0.103320 -0.040990
  0.124080 -0.044030
  0.146450 -0.046850
  0.170330 -0.049450
  0.195620 -0.051800
  0.222210 -0.053900
  0.250000 -0.055720
  0.278860 -0.057260
  0.308660 -0.058500
  0.339280 -0.059430
  0.370590 -0.060040
  0.402450 -0.060310
  0.434740 -0.060230
  0.467300 -0.059770
  0.500000 -0.058910
  0.532700 -0.057600
  0.565260 -0.055780
  0.597550 -0.053400
  0.629410 -0.050430
  0.660720 -0.046900
  0.691340 -0.042910
  0.721140 -0.038590
  0.750000 -0.034090
  0.777790 -0.029580
  0.804380 -0.025230
  0.829670 -0.021180
  0.853550 -0.017550
  0.875920 -0.014370
  0.896680 -0.011630
  0.915730 -0.009300
  0.933010 -0.007340
  0.948440 -0.005720
  0.961940 -0.004380
  0.973470 -0.003280
  0.982960 -0.002380
  0.990390 -0.001690
  0.995720 -0.001100
  0.998930 -0.000770
  1.000000  0.000000
