NACA-M1 AIRFOIL
       17.       17.

  0.000000  0.000000
  0.012500  0.010300
  0.025000  0.013600
  0.050000  0.018000
  0.075000  0.021000
  0.100000  0.023400
  0.150000  0.026700
  0.200000  0.028800
  0.300000  0.030800
  0.400000  0.030500
  0.500000  0.028500
  0.600000  0.025300
  0.700000  0.020800
  0.800000  0.015400
  0.900000  0.009100
  0.950000  0.005700
  1.000000  0.002000

  0.000000  0.000000
  0.012500 -0.010300
  0.025000 -0.013600
  0.050000 -0.018000
  0.075000 -0.021000
  0.100000 -0.023400
  0.150000 -0.026700
  0.200000 -0.028800
  0.300000 -0.030800
  0.400000 -0.030500
  0.500000 -0.028500
  0.600000 -0.025300
  0.700000 -0.020800
  0.800000 -0.015400
  0.900000 -0.009100
  0.950000 -0.005700
  1.000000 -0.002000
