M6 (85%)
       22.       22.

  0.000000  0.000000
  0.002000  0.006375
  0.004000  0.009605
  0.006000  0.011645
  0.010000  0.014960
  0.012500  0.016745
  0.025000  0.023885
  0.050000  0.034255
  0.075000  0.041990
  0.100000  0.048535
  0.150000  0.057970
  0.200000  0.064175
  0.250000  0.068085
  0.300000  0.069870
  0.400000  0.068425
  0.500000  0.061710
  0.600000  0.051255
  0.700000  0.038930
  0.800000  0.026010
  0.900000  0.013175
  0.950000  0.006800
  1.000000  0.000000

  0.000000  0.000000
  0.002500 -0.008075
  0.005000 -0.010455
  0.007500 -0.012580
  0.010000 -0.013770
  0.012500 -0.014960
  0.025000 -0.018700
  0.050000 -0.023205
  0.075000 -0.025755
  0.100000 -0.027540
  0.150000 -0.029495
  0.200000 -0.030770
  0.250000 -0.031535
  0.300000 -0.032215
  0.400000 -0.033150
  0.500000 -0.033490
  0.600000 -0.032470
  0.700000 -0.029580
  0.800000 -0.024055
  0.900000 -0.015045
  0.950000 -0.009180
  1.000000  0.000000
