MA409 (smoothed)
       40.       40.

  0.000000 -0.000040
  0.000980  0.003180
  0.005480  0.007970
  0.013380  0.013050
  0.024330  0.018310
  0.038110  0.023690
  0.054680  0.029130
  0.073950  0.034500
  0.095760  0.039610
  0.119990  0.044330
  0.146480  0.048590
  0.175040  0.052340
  0.205490  0.055550
  0.237600  0.058190
  0.271200  0.060250
  0.306090  0.061720
  0.342040  0.062600
  0.378870  0.062910
  0.416380  0.062700
  0.454350  0.062020
  0.492650  0.060890
  0.530990  0.059330
  0.569370  0.057320
  0.607780  0.054860
  0.645940  0.051980
  0.683590  0.048690
  0.720430  0.045050
  0.756160  0.041120
  0.790480  0.036940
  0.823090  0.032610
  0.853700  0.028170
  0.882020  0.023730
  0.907750  0.019370
  0.930640  0.015210
  0.950440  0.011360
  0.966980  0.007930
  0.980370  0.004980
  0.990700  0.002590
  0.997540  0.000940
  1.000000  0.000340

  0.000000 -0.000040
  0.000980 -0.003020
  0.005480 -0.006640
  0.013380 -0.009680
  0.024330 -0.012130
  0.038110 -0.014000
  0.054680 -0.015270
  0.073950 -0.015900
  0.095760 -0.015890
  0.119990 -0.015270
  0.146480 -0.014160
  0.175040 -0.012640
  0.205490 -0.010810
  0.237600 -0.008750
  0.271200 -0.006530
  0.306090 -0.004210
  0.342040 -0.001860
  0.378870  0.000390
  0.416380  0.002450
  0.454350  0.004220
  0.492650  0.005650
  0.530990  0.006740
  0.569370  0.007540
  0.607780  0.008080
  0.645940  0.008370
  0.683590  0.008440
  0.720430  0.008300
  0.756160  0.007980
  0.790480  0.007490
  0.823090  0.006870
  0.853700  0.006130
  0.882020  0.005290
  0.907750  0.004390
  0.930640  0.003470
  0.950440  0.002560
  0.966980  0.001700
  0.980370  0.000930
  0.990700  0.000280
  0.997540 -0.000180
  1.000000 -0.000360
