MILEY M06-13-128
       33.       32.

  0.000980  0.004520
  0.002960  0.008780
  0.009940  0.018620
  0.020830  0.029600
  0.035510  0.041220
  0.053820  0.053050
  0.075580  0.064600
  0.100570  0.075830
  0.128570  0.086050
  0.159420  0.094870
  0.193280  0.102200
  0.229750  0.108140
  0.268380  0.112560
  0.308730  0.115310
  0.350320  0.116170
  0.392630  0.114890
  0.435100  0.110940
  0.477560  0.103090
  0.522650  0.090020
  0.571800  0.075840
  0.622880  0.062250
  0.674340  0.049800
  0.724930  0.038780
  0.773540  0.029300
  0.819230  0.021390
  0.861120  0.014990
  0.898490  0.010020
  0.930680  0.006310
  0.957180  0.003700
  0.977560  0.001980
  0.991520  0.000880
  0.998960  0.000150
  1.000000  0.000000

  0.000980  0.004520
  0.000050  0.000870
  0.000300 -0.001830
  0.002330 -0.003720
  0.012030 -0.006690
  0.028030 -0.009010
  0.049870 -0.010770
  0.077180 -0.012030
  0.109590 -0.012870
  0.146670 -0.013330
  0.187960 -0.013490
  0.232960 -0.013390
  0.281110 -0.013080
  0.331850 -0.012600
  0.384560 -0.012000
  0.438620 -0.011290
  0.493380 -0.010530
  0.548200 -0.009720
  0.602420 -0.008900
  0.655410 -0.008090
  0.706520 -0.007290
  0.755160 -0.006520
  0.800730 -0.005770
  0.842690 -0.005060
  0.880530 -0.004370
  0.913790 -0.003700
  0.942050 -0.003020
  0.964960 -0.002280
  0.982320 -0.001470
  0.993930 -0.000730
  0.999420 -0.000140
  1.000000  0.000000
