NACA/LANGLEY SYMMETRICAL
       37.       37.

  0.000000  0.000000
  0.002000  0.009225
  0.006524  0.015751
  0.012500  0.020323
  0.025000  0.026208
  0.037500  0.030242
  0.050000  0.033373
  0.075000  0.038117
  0.100000  0.041643
  0.125000  0.044400
  0.150000  0.046615
  0.175000  0.048421
  0.200000  0.049905
  0.250000  0.052125
  0.300000  0.053588
  0.350000  0.054467
  0.400000  0.054783
  0.450000  0.054571
  0.500000  0.053758
  0.550000  0.052376
  0.600000  0.050410
  0.625000  0.049198
  0.650000  0.047824
  0.675000  0.046281
  0.700000  0.044556
  0.725000  0.042635
  0.750000  0.040499
  0.775000  0.038127
  0.800000  0.035492
  0.825000  0.032564
  0.850000  0.029306
  0.875000  0.025676
  0.900000  0.021625
  0.925000  0.017099
  0.950000  0.012034
  0.975000  0.006361
  1.000000  0.000000

  0.000000  0.000000
  0.002000 -0.009225
  0.006524 -0.015751
  0.012500 -0.020323
  0.025000 -0.026208
  0.037500 -0.030242
  0.050000 -0.033373
  0.075000 -0.038117
  0.100000 -0.041643
  0.125000 -0.044400
  0.150000 -0.046615
  0.175000 -0.048421
  0.200000 -0.049905
  0.250000 -0.052125
  0.300000 -0.053588
  0.350000 -0.054467
  0.400000 -0.054783
  0.450000 -0.054571
  0.500000 -0.053758
  0.550000 -0.052376
  0.600000 -0.050410
  0.625000 -0.049198
  0.650000 -0.047824
  0.675000 -0.046281
  0.700000 -0.044556
  0.725000 -0.042635
  0.750000 -0.040499
  0.775000 -0.038127
  0.800000 -0.035492
  0.825000 -0.032564
  0.850000 -0.029306
  0.875000 -0.025676
  0.900000 -0.021625
  0.925000 -0.017099
  0.950000 -0.012034
  0.975000 -0.006361
  1.000000  0.000000
