NACA 64(1)-212
       26.       26.

  0.000000  0.000000
  0.004180  0.010250
  0.006590  0.012450
  0.011470  0.015930
  0.023820  0.022180
  0.048680  0.031230
  0.073640  0.038150
  0.098650  0.043860
  0.148720  0.052910
  0.198860  0.059680
  0.249030  0.064700
  0.299210  0.068150
  0.349410  0.070080
  0.399610  0.070520
  0.449820  0.068930
  0.500000  0.065830
  0.550160  0.061510
  0.600290  0.056190
  0.650390  0.050040
  0.700450  0.043220
  0.750470  0.035900
  0.800450  0.028250
  0.850380  0.020540
  0.900270  0.013030
  0.950130  0.006040
  1.000000  0.000000

  0.000000  0.000000
  0.005820 -0.009250
  0.008410 -0.011050
  0.013530 -0.013790
  0.026180 -0.018460
  0.051320 -0.024910
  0.076360 -0.029670
  0.101350 -0.033520
  0.151280 -0.039450
  0.201140 -0.043760
  0.250970 -0.046800
  0.300790 -0.048710
  0.350590 -0.049480
  0.400390 -0.049100
  0.450180 -0.047030
  0.500000 -0.043770
  0.549840 -0.039610
  0.599710 -0.034770
  0.649610 -0.029440
  0.699550 -0.023780
  0.749530 -0.018000
  0.799550 -0.012330
  0.849620 -0.007080
  0.899730 -0.002690
  0.949870  0.000280
  1.000000  0.000000
