NACA 63(2)A-015
       49.       49.

  0.000000  0.000000
  0.001070  0.007300
  0.004280  0.014500
  0.009610  0.021750
  0.017040  0.028700
  0.026530  0.035800
  0.038060  0.042500
  0.051560  0.049200
  0.066990  0.055590
  0.084270  0.061500
  0.103320  0.066980
  0.124080  0.071770
  0.146450  0.075800
  0.170330  0.079140
  0.195620  0.081910
  0.222210  0.084210
  0.250000  0.086030
  0.278860  0.087320
  0.308660  0.088080
  0.339280  0.088270
  0.370590  0.087760
  0.402450  0.086520
  0.434740  0.084610
  0.467300  0.082040
  0.500000  0.078910
  0.532700  0.075350
  0.565260  0.071340
  0.597550  0.066910
  0.629410  0.062230
  0.660720  0.057400
  0.691340  0.052450
  0.721140  0.047440
  0.750000  0.042530
  0.777790  0.037860
  0.804380  0.033430
  0.829670  0.029210
  0.853550  0.025180
  0.875920  0.021370
  0.896680  0.017850
  0.915730  0.014660
  0.933010  0.011790
  0.948440  0.009190
  0.961940  0.006860
  0.973470  0.004820
  0.982960  0.003110
  0.990390  0.001760
  0.995720  0.000790
  0.998930  0.000200
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.004600
  0.004280 -0.008600
  0.009610 -0.012240
  0.017040 -0.015910
  0.026530 -0.019020
  0.038060 -0.021960
  0.051560 -0.024930
  0.066990 -0.028000
  0.084270 -0.031160
  0.103320 -0.034490
  0.124080 -0.038080
  0.146450 -0.041910
  0.170330 -0.045830
  0.195620 -0.049560
  0.222210 -0.052880
  0.250000 -0.055770
  0.278860 -0.058270
  0.308660 -0.060200
  0.339280 -0.061460
  0.370590 -0.062110
  0.402450 -0.062110
  0.434740 -0.061420
  0.467300 -0.060130
  0.500000 -0.058280
  0.532700 -0.055900
  0.565260 -0.053180
  0.597550 -0.050160
  0.629410 -0.046780
  0.660720 -0.043140
  0.691340 -0.039390
  0.721140 -0.035640
  0.750000 -0.031950
  0.777790 -0.028410
  0.804380 -0.025030
  0.829670 -0.021820
  0.853550 -0.018780
  0.875920 -0.015940
  0.896680 -0.013300
  0.915730 -0.010870
  0.933010 -0.008670
  0.948440 -0.006710
  0.961940 -0.004980
  0.973470 -0.003490
  0.982960 -0.002250
  0.990390 -0.001270
  0.995720 -0.000570
  0.998930 -0.000140
  1.000000  0.000000
