NACA 63(4)-221
       26.       26.

  0.000000  0.000000
  0.003670  0.016270
  0.006000  0.020010
  0.010750  0.026280
  0.022920  0.037570
  0.047630  0.053750
  0.072530  0.066010
  0.097530  0.075930
  0.147670  0.091110
  0.197920  0.102040
  0.248240  0.109460
  0.298600  0.113830
  0.348970  0.115290
  0.399340  0.113690
  0.449690  0.109490
  0.500000  0.103090
  0.550270  0.094850
  0.600480  0.085120
  0.650630  0.074260
  0.700710  0.062620
  0.750730  0.050540
  0.800670  0.038490
  0.850560  0.026930
  0.900390  0.016290
  0.950180  0.007080
  1.000000  0.000000

  0.000000  0.000000
  0.006330 -0.015270
  0.009000 -0.018610
  0.014250 -0.024140
  0.027080 -0.033850
  0.052370 -0.047430
  0.077470 -0.057530
  0.102470 -0.065590
  0.152330 -0.077650
  0.202080 -0.086120
  0.251760 -0.091560
  0.301400 -0.094390
  0.351030 -0.094690
  0.400660 -0.092270
  0.450310 -0.087590
  0.500000 -0.081030
  0.549730 -0.072950
  0.599520 -0.063700
  0.649370 -0.053660
  0.699290 -0.043180
  0.749270 -0.032640
  0.799330 -0.022570
  0.849440 -0.013470
  0.899610 -0.005950
  0.949820 -0.000760
  1.000000  0.000000
