NACA 66-018
       30.       30.

  0.000000  0.000000
  0.001270  0.007080
  0.005000  0.013230
  0.007500  0.015710
  0.012500  0.019520
  0.025000  0.026460
  0.050000  0.036900
  0.075000  0.045130
  0.100000  0.052100
  0.150000  0.063330
  0.200000  0.071880
  0.250000  0.078480
  0.300000  0.083460
  0.350000  0.087010
  0.400000  0.089180
  0.450000  0.089980
  0.500000  0.089420
  0.550000  0.087330
  0.600000  0.083230
  0.649990  0.075800
  0.700000  0.065970
  0.750000  0.054510
  0.800000  0.042060
  0.850000  0.029340
  0.900000  0.017130
  0.926890  0.010960
  0.950000  0.006460
  0.977520  0.002540
  0.994350  0.000620
  1.000000  0.000000

  0.000000  0.000000
  0.001270 -0.007080
  0.005000 -0.013230
  0.007500 -0.015710
  0.012500 -0.019520
  0.025000 -0.026460
  0.050000 -0.036900
  0.075000 -0.045130
  0.100000 -0.052100
  0.150000 -0.063330
  0.200000 -0.071880
  0.250000 -0.078480
  0.300000 -0.083460
  0.350000 -0.087010
  0.400000 -0.089180
  0.450000 -0.089980
  0.500000 -0.089420
  0.550000 -0.087330
  0.600000 -0.083230
  0.649990 -0.075800
  0.700000 -0.065970
  0.750000 -0.054510
  0.800000 -0.042060
  0.850000 -0.029340
  0.876070 -0.022900
  0.900000 -0.017130
  0.950000 -0.006460
  0.977520 -0.002540
  0.994350 -0.000620
  1.000000  0.000000
