NACA 66-206
       26.       26.

  0.000000  0.000000
  0.004610  0.005090
  0.007070  0.006220
  0.012020  0.007980
  0.024470  0.011020
  0.049410  0.015720
  0.074390  0.019470
  0.099390  0.022680
  0.149420  0.027910
  0.199470  0.031960
  0.249540  0.035130
  0.299620  0.037540
  0.349710  0.039290
  0.399810  0.040420
  0.449900  0.040950
  0.500000  0.040880
  0.550090  0.040200
  0.600180  0.038860
  0.650260  0.036410
  0.700310  0.032880
  0.750340  0.028480
  0.800340  0.023390
  0.850310  0.017800
  0.900230  0.011820
  0.950120  0.005780
  1.000000  0.000000

  0.000000  0.000000
  0.005390 -0.004090
  0.007930 -0.004820
  0.012980 -0.005840
  0.025530 -0.007300
  0.050590 -0.009400
  0.075610 -0.010990
  0.100610 -0.012340
  0.150580 -0.014450
  0.200530 -0.016040
  0.250460 -0.017230
  0.300380 -0.018100
  0.350290 -0.018690
  0.400190 -0.019000
  0.450100 -0.019050
  0.500000 -0.018820
  0.549910 -0.018300
  0.599820 -0.017440
  0.649740 -0.015810
  0.699690 -0.013440
  0.749660 -0.010580
  0.799660 -0.007470
  0.849690 -0.004340
  0.899770 -0.001480
  0.949880  0.000540
  1.000000  0.000000
