NACA 747A315
       26.       26.

  0.000000  0.000000
  0.002290  0.013050
  0.004490  0.015990
  0.009110  0.020650
  0.021090  0.029350
  0.045640  0.042640
  0.070530  0.052860
  0.095580  0.061400
  0.145990  0.074970
  0.196680  0.085030
  0.247580  0.092420
  0.298670  0.097310
  0.350010  0.099820
  0.402000  0.099620
  0.453750  0.095720
  0.504470  0.089640
  0.554630  0.082060
  0.604350  0.073240
  0.653660  0.063650
  0.702410  0.053540
  0.751300  0.043360
  0.800730  0.032950
  0.850380  0.022570
  0.900160  0.012890
  0.950040  0.004810
  1.000000  0.000000

  0.000000  0.000000
  0.007710 -0.010310
  0.010510 -0.012070
  0.015890 -0.014730
  0.028910 -0.019270
  0.054360 -0.025180
  0.079470 -0.029520
  0.104420 -0.033040
  0.154010 -0.038430
  0.203320 -0.042470
  0.252420 -0.045460
  0.301330 -0.047730
  0.349990 -0.049260
  0.398000 -0.050200
  0.446250 -0.050400
  0.495530 -0.050140
  0.545370 -0.049300
  0.595650 -0.047720
  0.646340 -0.045090
  0.697590 -0.041100
  0.748700 -0.035020
  0.799270 -0.027430
  0.849620 -0.019150
  0.899840 -0.010970
  0.949960 -0.004050
  1.000000  0.000000
