NACA M12
       17.       17.

  0.000000  0.000000
  0.012500  0.020300
  0.025000  0.028600
  0.050000  0.040100
  0.075000  0.048900
  0.100000  0.055900
  0.150000  0.066100
  0.200000  0.073000
  0.300000  0.079500
  0.400000  0.078600
  0.500000  0.072500
  0.600000  0.062700
  0.700000  0.049800
  0.800000  0.035000
  0.900000  0.018900
  0.950000  0.010700
  1.000000  0.002000

  0.000000  0.000000
  0.012500 -0.016500
  0.025000 -0.021400
  0.050000 -0.027200
  0.075000 -0.030700
  0.100000 -0.033100
  0.150000 -0.030000
  0.200000 -0.038000
  0.300000 -0.039800
  0.400000 -0.039600
  0.500000 -0.038200
  0.600000 -0.035000
  0.700000 -0.030000
  0.800000 -0.023100
  0.900000 -0.013700
  0.950000 -0.008100
  1.000000 -0.002000
