NLR-7223-43 AIRFOIL
       74.       63.

  0.000000  0.000000
  0.001270  0.006170
  0.004180  0.010220
  0.009810  0.015060
  0.017530  0.020020
  0.027350  0.025090
  0.039620  0.030090
  0.045050  0.031980
  0.052260  0.034250
  0.059770  0.036360
  0.067360  0.038280
  0.076810  0.040410
  0.086260  0.042250
  0.089860  0.042880
  0.092260  0.043270
  0.093460  0.043460
  0.094660  0.043640
  0.095860  0.043820
  0.097750  0.044080
  0.099650  0.044320
  0.101540  0.044560
  0.105320  0.044990
  0.109110  0.045400
  0.115030  0.046010
  0.118810  0.046370
  0.126380  0.047040
  0.136290  0.047870
  0.149530  0.048840
  0.162760  0.049710
  0.174120  0.050380
  0.187340  0.051070
  0.201040  0.051710
  0.216160  0.052310
  0.227490  0.052710
  0.241730  0.053130
  0.256850  0.053510
  0.271950  0.053820
  0.287130  0.054060
  0.302230  0.054240
  0.317340  0.054360
  0.334330  0.054430
  0.348260  0.054440
  0.365250  0.054390
  0.380360  0.054300
  0.395450  0.054160
  0.412440  0.053940
  0.429410  0.053670
  0.446400  0.053330
  0.461490  0.052990
  0.479870  0.052530
  0.494960  0.052080
  0.513650  0.051480
  0.532510  0.050800
  0.547600  0.050200
  0.566460  0.049390
  0.581010  0.048710
  0.596100  0.047960
  0.612740  0.047070
  0.629700  0.046110
  0.647520  0.045020
  0.662600  0.044030
  0.677680  0.042990
  0.710950  0.040310
  0.739830  0.037240
  0.769780  0.033790
  0.798700  0.030250
  0.826200  0.026720
  0.851800  0.023180
  0.877070  0.019530
  0.909560  0.014860
  0.940570  0.010370
  0.974050  0.004790
  0.986740  0.002410
  1.000000  0.000000

  0.000000  0.000000
  0.000540 -0.002510
  0.001170 -0.003630
  0.002640 -0.005210
  0.004490 -0.006420
  0.007280 -0.007670
  0.009910 -0.008620
  0.013320 -0.009670
  0.017470 -0.010760
  0.021780 -0.011740
  0.027680 -0.012920
  0.034970 -0.014180
  0.039350 -0.014850
  0.046350 -0.015830
  0.052700 -0.016640
  0.061510 -0.017670
  0.069750 -0.018540
  0.077280 -0.019290
  0.087740 -0.020260
  0.095270 -0.020910
  0.106580 -0.021840
  0.116410 -0.022580
  0.127720 -0.023390
  0.139030 -0.024150
  0.150340 -0.024860
  0.161650 -0.025530
  0.174850 -0.026250
  0.188590 -0.026950
  0.201790 -0.027550
  0.214990 -0.028120
  0.228190 -0.028640
  0.241400 -0.029110
  0.256490 -0.029610
  0.271620 -0.030050
  0.286720 -0.030440
  0.303690 -0.030820
  0.316900 -0.031080
  0.332000 -0.031330
  0.348980 -0.031550
  0.365820 -0.031710
  0.380920 -0.031820
  0.396020 -0.031870
  0.413010 -0.031870
  0.447200 -0.031690
  0.481190 -0.031250
  0.513830 -0.030610
  0.547140 -0.029680
  0.580610 -0.028270
  0.614850 -0.025800
  0.647630 -0.021780
  0.678040 -0.017610
  0.709290 -0.013700
  0.740930 -0.010170
  0.769300 -0.007550
  0.799240 -0.005350
  0.825010 -0.003910
  0.852860 -0.002620
  0.876430 -0.001910
  0.908860 -0.001020
  0.940630 -0.000430
  0.973510 -0.000050
  0.986760  0.000050
  1.000000  0.000000
