NASA  NLF1015
       32.       30.

  0.003980  0.009570
  0.012410  0.019380
  0.025210  0.029950
  0.042260  0.040850
  0.063430  0.051790
  0.088550  0.062490
  0.117400  0.072730
  0.149740  0.082320
  0.185270  0.091100
  0.223640  0.098920
  0.264490  0.105640
  0.307410  0.111150
  0.351960  0.115350
  0.397710  0.118150
  0.444160  0.119470
  0.490850  0.119220
  0.537260  0.117270
  0.582990  0.113370
  0.627990  0.107320
  0.672360  0.099330
  0.715890  0.090000
  0.758120  0.079810
  0.798530  0.069150
  0.836590  0.058400
  0.871770  0.047880
  0.903500  0.037880
  0.931250  0.028650
  0.954460  0.020230
  0.972980  0.012480
  0.987120  0.005830
  0.996570  0.001460
  1.000000  0.000000

  0.003980  0.009570
  0.000080  0.001170
  0.002080 -0.005350
  0.010530 -0.010880
  0.024560 -0.016080
  0.043890 -0.020710
  0.068280 -0.024660
  0.097490 -0.027910
  0.131190 -0.030460
  0.169030 -0.032300
  0.210560 -0.033460
  0.255290 -0.033970
  0.302700 -0.033840
  0.352210 -0.033060
  0.403190 -0.031600
  0.455010 -0.029410
  0.506990 -0.026200
  0.558950 -0.021500
  0.611190 -0.015490
  0.663520 -0.008950
  0.715290 -0.002560
  0.765760  0.003110
  0.814050  0.007550
  0.859130  0.010350
  0.899870  0.011270
  0.935100  0.010320
  0.963630  0.007720
  0.984220  0.004160
  0.996170  0.001140
  1.000000  0.000000
