NLR-1T AIRFOIL
       33.       33.

  0.000000  0.000000
  0.002590  0.007040
  0.009740  0.015240
  0.021850  0.022960
  0.037960  0.029720
  0.056750  0.035880
  0.077530  0.040980
  0.098450  0.044690
  0.123410  0.047410
  0.154120  0.049860
  0.187670  0.051880
  0.223130  0.053450
  0.260540  0.054590
  0.299790  0.055310
  0.340640  0.055650
  0.382690  0.055600
  0.425280  0.055180
  0.468490  0.054380
  0.511620  0.053230
  0.553830  0.051750
  0.595960  0.049920
  0.637280  0.047740
  0.677320  0.045240
  0.710790  0.042910
  0.739050  0.040170
  0.769460  0.036440
  0.802630  0.031400
  0.840550  0.025330
  0.878460  0.019010
  0.908450  0.014210
  0.935890  0.010200
  0.961990  0.006510
  1.000000  0.001040

  0.000000  0.000000
  0.002590 -0.005120
  0.009740 -0.008670
  0.021850 -0.011800
  0.037960 -0.014650
  0.056750 -0.017130
  0.077530 -0.019290
  0.098450 -0.021120
  0.123410 -0.022990
  0.154120 -0.024940
  0.187670 -0.026710
  0.223130 -0.028210
  0.260540 -0.029440
  0.299790 -0.030400
  0.340640 -0.031040
  0.382690 -0.031420
  0.425280 -0.031500
  0.468490 -0.031320
  0.511620 -0.030800
  0.553830 -0.029920
  0.595960 -0.028670
  0.637280 -0.027340
  0.677320 -0.025800
  0.710790 -0.024320
  0.739050 -0.023050
  0.769460 -0.021640
  0.802630 -0.019960
  0.840550 -0.017940
  0.878460 -0.015710
  0.908450 -0.013640
  0.935890 -0.010870
  0.961990 -0.007110
  1.000000 -0.001040
