NLR-7301 AIRFOIL
       40.       40.

  0.000000  0.000000
  0.000500  0.007300
  0.001000  0.010510
  0.002000  0.015180
  0.003500  0.020300
  0.005000  0.024240
  0.006500  0.027560
  0.008000  0.030430
  0.010000  0.033750
  0.012500  0.037290
  0.016000  0.041400
  0.020000  0.045140
  0.025000  0.048730
  0.035000  0.053720
  0.050000  0.059200
  0.065000  0.063210
  0.080000  0.066360
  0.100000  0.069850
  0.125000  0.073470
  0.150000  0.076480
  0.200000  0.081150
  0.250000  0.084410
  0.300000  0.086490
  0.350000  0.087550
  0.400000  0.087640
  0.450000  0.086780
  0.500000  0.084950
  0.550000  0.082060
  0.600000  0.077890
  0.650000  0.072120
  0.700000  0.064580
  0.750000  0.055510
  0.800000  0.045230
  0.850000  0.034150
  0.900000  0.022690
  0.925000  0.016960
  0.950000  0.011290
  0.975000  0.005770
  0.990000  0.002580
  1.000000  0.000550

  0.000000  0.000000
  0.000500 -0.007480
  0.001000 -0.010200
  0.002000 -0.013730
  0.003500 -0.017350
  0.005000 -0.020160
  0.006500 -0.022520
  0.008000 -0.024550
  0.010000 -0.026880
  0.012500 -0.029350
  0.016000 -0.032250
  0.020000 -0.035020
  0.025000 -0.037940
  0.035000 -0.042640
  0.050000 -0.048060
  0.065000 -0.052290
  0.080000 -0.055760
  0.100000 -0.059620
  0.125000 -0.063580
  0.150000 -0.066890
  0.200000 -0.071940
  0.250000 -0.075270
  0.300000 -0.077130
  0.350000 -0.077630
  0.400000 -0.076720
  0.450000 -0.074120
  0.500000 -0.069340
  0.550000 -0.062370
  0.600000 -0.053860
  0.650000 -0.043970
  0.700000 -0.033160
  0.750000 -0.022270
  0.800000 -0.012210
  0.850000 -0.004090
  0.900000  0.001080
  0.925000  0.002280
  0.950000  0.002460
  0.975000  0.001530
  0.990000  0.000420
  1.000000 -0.000550
