NN7 MK20
       49.       49.

  0.000000  0.000000
  0.001070  0.004870
  0.004280  0.011000
  0.009610  0.018340
  0.017040  0.026050
  0.026530  0.033690
  0.038060  0.041330
  0.051560  0.048900
  0.066990  0.056420
  0.084270  0.063850
  0.103320  0.071020
  0.124080  0.077840
  0.146450  0.084220
  0.170330  0.090120
  0.195620  0.095490
  0.222210  0.100330
  0.250000  0.104560
  0.278860  0.108100
  0.308660  0.110800
  0.339280  0.112600
  0.370590  0.113460
  0.402450  0.113420
  0.434740  0.112490
  0.467300  0.110680
  0.500000  0.107920
  0.532700  0.104200
  0.565260  0.099600
  0.597550  0.094260
  0.629410  0.088340
  0.660720  0.081980
  0.691340  0.075310
  0.721140  0.068460
  0.750000  0.061590
  0.777790  0.054900
  0.804380  0.048510
  0.829670  0.042410
  0.853550  0.036540
  0.875920  0.030930
  0.896680  0.025730
  0.915730  0.021050
  0.933010  0.016910
  0.948440  0.013230
  0.961940  0.009940
  0.973470  0.007040
  0.982960  0.004560
  0.990390  0.002580
  0.995720  0.001150
  0.998930  0.000290
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.004010
  0.004280 -0.007920
  0.009610 -0.012020
  0.017040 -0.015950
  0.026530 -0.019780
  0.038060 -0.023660
  0.051560 -0.027520
  0.066990 -0.031220
  0.084270 -0.034650
  0.103320 -0.037900
  0.124080 -0.041120
  0.146450 -0.044280
  0.170330 -0.047160
  0.195620 -0.049570
  0.222210 -0.051520
  0.250000 -0.053100
  0.278860 -0.054370
  0.308660 -0.055210
  0.339280 -0.055460
  0.370590 -0.055110
  0.402450 -0.054270
  0.434740 -0.052910
  0.467300 -0.050840
  0.500000 -0.047860
  0.532700 -0.043900
  0.565260 -0.039080
  0.597550 -0.033610
  0.629410 -0.027710
  0.660720 -0.021610
  0.691340 -0.015580
  0.721140 -0.009960
  0.750000 -0.005150
  0.777790 -0.001450
  0.804380  0.001090
  0.829670  0.002640
  0.853550  0.003400
  0.875920  0.003570
  0.896680  0.003310
  0.915730  0.002830
  0.933010  0.002320
  0.948440  0.001860
  0.961940  0.001460
  0.973470  0.001070
  0.982960  0.000710
  0.990390  0.000400
  0.995720  0.000180
  0.998930  0.000040
  1.000000  0.000000
