OAF102 AIRFOIL
       51.       51.

  0.000000  0.000000
  0.000987  0.004606
  0.003943  0.009200
  0.008856  0.013791
  0.015708  0.018394
  0.024472  0.023023
  0.035112  0.027687
  0.047586  0.032386
  0.061847  0.037104
  0.077836  0.041815
  0.095492  0.046480
  0.114743  0.051051
  0.135516  0.055479
  0.157726  0.059712
  0.181288  0.063697
  0.206107  0.067385
  0.232087  0.070720
  0.259123  0.073641
  0.287110  0.076084
  0.315938  0.077982
  0.345492  0.079287
  0.375655  0.079996
  0.406309  0.080102
  0.437333  0.079494
  0.468605  0.078396
  0.500000  0.076706
  0.531395  0.074409
  0.562667  0.071549
  0.593691  0.068210
  0.624345  0.064494
  0.654508  0.060502
  0.684062  0.056326
  0.712890  0.052044
  0.740877  0.047717
  0.767913  0.043397
  0.793893  0.039124
  0.818712  0.034942
  0.842274  0.030890
  0.864484  0.027015
  0.885257  0.023364
  0.904508  0.019984
  0.922164  0.016917
  0.938153  0.014198
  0.952414  0.011848
  0.964888  0.009873
  0.975528  0.008268
  0.984292  0.007013
  0.991144  0.006081
  0.996057  0.005443
  0.999013  0.005072
  1.000000  0.004950

  0.000000  0.000000
  0.000987 -0.004139
  0.003943 -0.008181
  0.008856 -0.012075
  0.015708 -0.015761
  0.024472 -0.019191
  0.035112 -0.022331
  0.047586 -0.025154
  0.061847 -0.027615
  0.077836 -0.029652
  0.095492 -0.031208
  0.114743 -0.032273
  0.135516 -0.032846
  0.157726 -0.032898
  0.181288 -0.032254
  0.206107 -0.031224
  0.232087 -0.029775
  0.259123 -0.027901
  0.287110 -0.025623
  0.315938 -0.022987
  0.345492 -0.020063
  0.375655 -0.016940
  0.406309 -0.013719
  0.437333 -0.010503
  0.468605 -0.007391
  0.500000 -0.004473
  0.531395 -0.001818
  0.562667  0.000524
  0.593691  0.002523
  0.624345  0.004171
  0.654508  0.005477
  0.684062  0.006461
  0.712890  0.007151
  0.740877  0.007576
  0.767913  0.007763
  0.793893  0.007733
  0.818712  0.007501
  0.842274  0.007077
  0.864484  0.006466
  0.885257  0.005677
  0.904508  0.004719
  0.922164  0.003614
  0.938153  0.002391
  0.952414  0.001092
  0.964888 -0.000228
  0.975528 -0.001507
  0.984292 -0.002676
  0.991144 -0.003671
  0.996057 -0.004430
  0.999013 -0.004906
  1.000000 -0.005068
