PMC19 Smoothed
       40.       40.

  0.000000 -0.000110
  0.000980  0.003590
  0.005480  0.009050
  0.013380  0.014760
  0.024330  0.020750
  0.038110  0.027170
  0.054680  0.034070
  0.073950  0.041010
  0.095760  0.047390
  0.119990  0.052880
  0.146480  0.057310
  0.175040  0.060490
  0.205490  0.062370
  0.237600  0.063050
  0.271200  0.062710
  0.306090  0.061510
  0.342040  0.059590
  0.378870  0.057070
  0.416380  0.054060
  0.454350  0.050650
  0.492650  0.046940
  0.530990  0.043010
  0.569370  0.038920
  0.607780  0.034760
  0.645940  0.030580
  0.683590  0.026500
  0.720430  0.022580
  0.756160  0.018910
  0.790480  0.015560
  0.823090  0.012600
  0.853700  0.010060
  0.882020  0.007950
  0.907750  0.006270
  0.930640  0.004970
  0.950440  0.004000
  0.966980  0.003250
  0.980370  0.002580
  0.990700  0.001890
  0.997540  0.001240
  1.000000  0.000950

  0.000000 -0.000110
  0.000980 -0.003430
  0.005480 -0.007130
  0.013380 -0.009590
  0.024330 -0.010890
  0.038110 -0.011510
  0.054680 -0.011980
  0.073950 -0.012490
  0.095760 -0.013180
  0.119990 -0.014230
  0.146480 -0.015800
  0.175040 -0.018000
  0.205490 -0.020730
  0.237600 -0.023750
  0.271200 -0.026830
  0.306090 -0.029770
  0.342040 -0.032350
  0.378870 -0.034400
  0.416380 -0.035760
  0.454350 -0.036320
  0.492650 -0.036100
  0.530990 -0.035140
  0.569370 -0.033550
  0.607780 -0.031380
  0.645940 -0.028720
  0.683590 -0.025700
  0.720430 -0.022420
  0.756160 -0.019030
  0.790480 -0.015670
  0.823090 -0.012510
  0.853700 -0.009690
  0.882020 -0.007290
  0.907750 -0.005360
  0.930640 -0.003900
  0.950440 -0.002970
  0.966980 -0.002550
  0.980370 -0.002320
  0.990700 -0.001920
  0.997540 -0.001340
  1.000000 -0.001030
