R140 (original)
       47.       47.

  0.000000  0.000000
  0.003480  0.004140
  0.006900  0.007600
  0.013790  0.012080
  0.020690  0.015460
  0.027590  0.018350
  0.034480  0.020980
  0.048260  0.025120
  0.062070  0.028990
  0.075860  0.032240
  0.089650  0.035120
  0.103450  0.038300
  0.117240  0.040720
  0.131030  0.043340
  0.144350  0.046130
  0.160870  0.048700
  0.177830  0.050870
  0.200000  0.053280
  0.227590  0.056590
  0.255170  0.058800
  0.282750  0.060670
  0.310350  0.062660
  0.340870  0.063780
  0.366960  0.064500
  0.393040  0.064280
  0.422610  0.064560
  0.452170  0.063130
  0.479130  0.061740
  0.504350  0.060700
  0.533040  0.058260
  0.561740  0.055650
  0.587830  0.053080
  0.613910  0.050750
  0.641740  0.047610
  0.669570  0.044350
  0.696960  0.041300
  0.724130  0.037950
  0.751720  0.034850
  0.779310  0.031400
  0.806890  0.027090
  0.834480  0.024160
  0.862060  0.020150
  0.889650  0.015650
  0.918260  0.011820
  0.944820  0.007600
  0.972410  0.004140
  1.000000  0.000000

  0.000000  0.000000
  0.003480 -0.004150
  0.006900 -0.007600
  0.013790 -0.011600
  0.020690 -0.014910
  0.027590 -0.017530
  0.034480 -0.019330
  0.048260 -0.022780
  0.062610 -0.026090
  0.076520 -0.029570
  0.090430 -0.031310
  0.103480 -0.033910
  0.117390 -0.035650
  0.133040 -0.038260
  0.146960 -0.040000
  0.161740 -0.041740
  0.176960 -0.043040
  0.200000 -0.045700
  0.227590 -0.048450
  0.255170 -0.051070
  0.285220 -0.053040
  0.310350 -0.053970
  0.337930 -0.054980
  0.365520 -0.055290
  0.393100 -0.055720
  0.420680 -0.055260
  0.448270 -0.054710
  0.475860 -0.053840
  0.503440 -0.052550
  0.530430 -0.051300
  0.558620 -0.049360
  0.586210 -0.046950
  0.613790 -0.044540
  0.641300 -0.041740
  0.669130 -0.039130
  0.696550 -0.036680
  0.724310 -0.034510
  0.751720 -0.031340
  0.779310 -0.028310
  0.808700 -0.024350
  0.834480 -0.021390
  0.862060 -0.017810
  0.888700 -0.014700
  0.917240 -0.011280
  0.944820 -0.007600
  0.972410 -0.004150
  1.000000  0.000000
