Ornithopter airfoil.
       32.       30.

  0.003680  0.010300
  0.011720  0.020920
  0.023990  0.032350
  0.040360  0.044140
  0.060690  0.055970
  0.084790  0.067520
  0.112460  0.078500
  0.143480  0.088690
  0.177590  0.097860
  0.214470  0.105830
  0.253790  0.112430
  0.295210  0.117470
  0.338410  0.120810
  0.383080  0.122320
  0.428930  0.122000
  0.475650  0.119910
  0.522810  0.116150
  0.570010  0.110820
  0.616860  0.104040
  0.662990  0.095990
  0.708000  0.086910
  0.751500  0.077090
  0.793030  0.066900
  0.832060  0.056680
  0.868020  0.046690
  0.900370  0.037160
  0.928580  0.028240
  0.952210  0.019870
  0.971380  0.012010
  0.986330  0.005440
  0.996370  0.001320
  1.000000  0.000000

  0.003680  0.010300
  0.000060  0.001110
  0.002100 -0.005970
  0.010480 -0.011760
  0.024530 -0.017160
  0.043870 -0.021930
  0.068220 -0.025960
  0.097290 -0.029190
  0.130770 -0.031580
  0.168280 -0.033090
  0.209430 -0.033700
  0.253780 -0.033340
  0.300860 -0.031990
  0.350230 -0.029570
  0.401590 -0.025970
  0.454800 -0.021410
  0.509390 -0.016390
  0.564660 -0.011260
  0.619900 -0.006300
  0.674380 -0.001780
  0.727310  0.002030
  0.777850  0.004950
  0.825150  0.006820
  0.868360  0.007600
  0.906630  0.007330
  0.939180  0.006180
  0.965310  0.004410
  0.984430  0.002420
  0.996090  0.000710
  1.000000  0.000000
