SELIG 3002-099-83
       31.       31.

  0.004400  0.012110
  0.012340  0.021050
  0.024500  0.030000
  0.040870  0.038730
  0.061350  0.047010
  0.085830  0.054600
  0.114170  0.061350
  0.146190  0.067110
  0.181650  0.071810
  0.220260  0.075370
  0.261730  0.077760
  0.305720  0.079000
  0.351780  0.079150
  0.399440  0.078230
  0.448200  0.076270
  0.497580  0.073280
  0.547110  0.069300
  0.596340  0.064410
  0.644810  0.058680
  0.692140  0.052260
  0.737870  0.045380
  0.781610  0.038250
  0.822860  0.031240
  0.861040  0.024630
  0.895530  0.018620
  0.925760  0.013300
  0.951310  0.008670
  0.971910  0.004830
  0.987230  0.002050
  0.996760  0.000480
  1.000000  0.000000

  0.004400  0.012110
  0.000480  0.003600
  0.000510 -0.003330
  0.006020 -0.008310
  0.017780 -0.012230
  0.035070 -0.015440
  0.057630 -0.017960
  0.085220 -0.019760
  0.117610 -0.020870
  0.154490 -0.021450
  0.195370 -0.021590
  0.239760 -0.021360
  0.287110 -0.020780
  0.336840 -0.019880
  0.388350 -0.018690
  0.441020 -0.017170
  0.494240 -0.015270
  0.547500 -0.012940
  0.600270 -0.010200
  0.651990 -0.006970
  0.702500 -0.003110
  0.751860  0.000810
  0.799320  0.003820
  0.843660  0.005500
  0.883730  0.005900
  0.918630  0.005270
  0.947700  0.004020
  0.970520  0.002570
  0.986880  0.001250
  0.996720  0.000330
  1.000000  0.000000
