S9026 (9.5%)
       61.       61.

  0.000000  0.000000
  0.000730  0.003290
  0.002740  0.006840
  0.005830  0.010380
  0.010120  0.013830
  0.015640  0.017250
  0.022300  0.020620
  0.030050  0.023840
  0.038950  0.026860
  0.049030  0.029720
  0.060230  0.032420
  0.072510  0.034910
  0.085870  0.037170
  0.100330  0.039220
  0.115830  0.041060
  0.132300  0.042670
  0.149760  0.044030
  0.168170  0.045170
  0.187480  0.046090
  0.207620  0.046780
  0.228570  0.047230
  0.250300  0.047470
  0.272730  0.047500
  0.295810  0.047330
  0.319470  0.046950
  0.343680  0.046370
  0.368370  0.045630
  0.393460  0.044720
  0.418890  0.043650
  0.444600  0.042440
  0.470520  0.041090
  0.496560  0.039620
  0.522670  0.038030
  0.548790  0.036340
  0.574820  0.034570
  0.600700  0.032730
  0.626360  0.030820
  0.651740  0.028870
  0.676750  0.026890
  0.701310  0.024890
  0.725380  0.022880
  0.748880  0.020880
  0.771750  0.018920
  0.793900  0.017020
  0.815260  0.015190
  0.835760  0.013430
  0.855320  0.011770
  0.873890  0.010210
  0.891380  0.008750
  0.907750  0.007390
  0.922930  0.006140
  0.936860  0.004990
  0.949500  0.003930
  0.960840  0.002940
  0.970850  0.002060
  0.979490  0.001320
  0.986710  0.000740
  0.992440  0.000340
  0.996610  0.000110
  0.999150  0.000020
  1.000000  0.000000

  0.000000  0.000000
  0.000730 -0.003290
  0.002740 -0.006840
  0.005830 -0.010380
  0.010120 -0.013830
  0.015640 -0.017250
  0.022300 -0.020620
  0.030050 -0.023840
  0.038950 -0.026860
  0.049030 -0.029720
  0.060230 -0.032420
  0.072510 -0.034910
  0.085870 -0.037170
  0.100330 -0.039220
  0.115830 -0.041060
  0.132300 -0.042670
  0.149760 -0.044030
  0.168170 -0.045170
  0.187480 -0.046090
  0.207620 -0.046780
  0.228570 -0.047230
  0.250300 -0.047470
  0.272730 -0.047500
  0.295810 -0.047330
  0.319470 -0.046950
  0.343680 -0.046370
  0.368370 -0.045630
  0.393460 -0.044720
  0.418890 -0.043650
  0.444600 -0.042440
  0.470520 -0.041090
  0.496560 -0.039620
  0.522670 -0.038030
  0.548790 -0.036340
  0.574820 -0.034570
  0.600700 -0.032730
  0.626360 -0.030820
  0.651740 -0.028870
  0.676750 -0.026890
  0.701310 -0.024890
  0.725380 -0.022880
  0.748880 -0.020880
  0.771750 -0.018920
  0.793900 -0.017020
  0.815260 -0.015190
  0.835760 -0.013430
  0.855320 -0.011770
  0.873890 -0.010210
  0.891380 -0.008750
  0.907750 -0.007390
  0.922930 -0.006140
  0.936860 -0.004990
  0.949500 -0.003930
  0.960840 -0.002940
  0.970850 -0.002060
  0.979490 -0.001320
  0.986710 -0.000740
  0.992440 -0.000340
  0.996610 -0.000110
  0.999150 -0.000020
  1.000000  0.000000
