S9027 (8%)
       61.       61.

  0.000000  0.000000
  0.000710  0.003030
  0.002670  0.006310
  0.005690  0.009550
  0.009900  0.012680
  0.015340  0.015760
  0.021920  0.018770
  0.029590  0.021610
  0.038430  0.024250
  0.048460  0.026700
  0.059620  0.028990
  0.071880  0.031070
  0.085250  0.032910
  0.099730  0.034540
  0.115270  0.035970
  0.131820  0.037170
  0.149370  0.038140
  0.167900  0.038900
  0.187370  0.039470
  0.207690  0.039830
  0.228850  0.040000
  0.250790  0.039990
  0.273450  0.039800
  0.296760  0.039460
  0.320670  0.038940
  0.345140  0.038280
  0.370080  0.037480
  0.395420  0.036570
  0.421100  0.035530
  0.447050  0.034380
  0.473200  0.033150
  0.499470  0.031840
  0.525790  0.030450
  0.552080  0.029000
  0.578280  0.027500
  0.604300  0.025970
  0.630070  0.024410
  0.655520  0.022820
  0.680580  0.021240
  0.705150  0.019650
  0.729190  0.018070
  0.752620  0.016510
  0.775380  0.014980
  0.797380  0.013510
  0.818560  0.012090
  0.838860  0.010740
  0.858190  0.009460
  0.876510  0.008250
  0.893750  0.007110
  0.909840  0.006050
  0.924750  0.005070
  0.938410  0.004160
  0.950790  0.003300
  0.961870  0.002490
  0.971640  0.001750
  0.980070  0.001120
  0.987100  0.000630
  0.992670  0.000290
  0.996720  0.000090
  0.999170  0.000010
  1.000000  0.000000

  0.000000  0.000000
  0.000710 -0.003030
  0.002670 -0.006310
  0.005690 -0.009550
  0.009900 -0.012680
  0.015340 -0.015760
  0.021920 -0.018770
  0.029590 -0.021610
  0.038430 -0.024250
  0.048460 -0.026700
  0.059620 -0.028990
  0.071880 -0.031070
  0.085250 -0.032910
  0.099730 -0.034540
  0.115270 -0.035970
  0.131820 -0.037170
  0.149370 -0.038140
  0.167900 -0.038900
  0.187370 -0.039470
  0.207690 -0.039830
  0.228850 -0.040000
  0.250790 -0.039990
  0.273450 -0.039800
  0.296760 -0.039460
  0.320670 -0.038940
  0.345140 -0.038280
  0.370080 -0.037480
  0.395420 -0.036570
  0.421100 -0.035530
  0.447050 -0.034380
  0.473200 -0.033150
  0.499470 -0.031840
  0.525790 -0.030450
  0.552080 -0.029000
  0.578280 -0.027500
  0.604300 -0.025970
  0.630070 -0.024410
  0.655520 -0.022820
  0.680580 -0.021240
  0.705150 -0.019650
  0.729190 -0.018070
  0.752620 -0.016510
  0.775380 -0.014980
  0.797380 -0.013510
  0.818560 -0.012090
  0.838860 -0.010740
  0.858190 -0.009460
  0.876510 -0.008250
  0.893750 -0.007110
  0.909840 -0.006050
  0.924750 -0.005070
  0.938410 -0.004160
  0.950790 -0.003300
  0.961870 -0.002490
  0.971640 -0.001750
  0.980070 -0.001120
  0.987100 -0.000630
  0.992670 -0.000290
  0.996720 -0.000090
  0.999170 -0.000010
  1.000000  0.000000
